ticker,ATDEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-01-27,0.0
2003-01-31,-7.8947
2003-02-14,-10.0
2003-05-29,82.5397
2003-06-10,3.4783
2003-08-27,-24.3697
2003-09-12,15.5556
2003-12-12,-11.538499999999999
2003-12-16,2.1739
2003-12-22,1.0638
2003-12-31,-3.1579
2004-02-02,0.0
2004-02-06,-8.6957
2004-02-09,-7.1429
2004-03-05,7.6923
2004-04-23,-4.7619
2004-04-28,-11.25
2004-04-29,7.0423
2004-08-26,32.8947
2004-09-21,16.8317
2004-09-24,8.4746
2004-10-04,7.8125
2004-10-05,0.0
2004-10-08,-0.7246
2004-11-12,-9.4891
2004-11-15,2.4194
2004-11-17,-3.9370000000000003
2004-11-29,1.6393
2004-12-16,-11.2903
2004-12-31,0.0
2005-01-12,5.4545
2005-02-04,-9.4828
2005-02-09,-1.9048
2005-02-14,2.3301
2005-02-18,-3.2258
2005-03-04,0.0
2005-03-10,3.9215999999999998
2005-03-18,1.8868
2005-03-28,-12.963
2005-03-31,2.1277
2005-06-03,-8.9583
2005-07-26,-1.6018
2005-09-12,18.6047
2005-09-21,14.7059
2005-09-23,3.4188
2005-09-26,0.8264
2005-09-28,-4.1291
2005-09-29,0.0321
2005-10-06,-0.4487
2005-10-07,-1.2664
2005-10-11,-1.0652
2005-10-17,-1.6808999999999998
2005-10-27,-0.771
2005-11-17,9.9099
2005-11-22,2.1311
2005-11-29,10.7544
2005-12-02,0.0
2005-12-06,3.1159
2005-12-08,3.1623
2005-12-09,-3.2698
2005-12-14,4.2254
2005-12-15,0.0
2005-12-16,0.0
2005-12-21,-7.8209
2005-12-23,6.5786999999999995
2006-01-05,0.4127
2006-01-06,-0.5736
2006-01-12,-1.4897
2006-01-13,-0.6993
2006-01-20,1.9718
2006-01-23,3.9106
2006-02-06,-0.3738
2006-02-10,0.0667
2006-02-13,-5.2167
2006-02-14,-6.594
2006-02-15,5.2711
2006-02-22,-2.1459
2006-02-23,0.1462
2006-02-27,2.7555
2006-02-28,-1.2609
2006-03-09,0.7194
2006-03-24,-2.8571
2006-04-20,1.4706000000000001
2006-04-26,10.8696
2006-05-02,3.9215999999999998
2006-05-05,-2.8931
2006-05-09,2.8497
2006-05-11,-2.0151
2006-06-14,-27.635
2006-06-29,9.2362
2006-06-30,-2.439
2006-08-02,7.1667
2006-08-23,-10.5754
2006-08-29,0.8696
2006-09-19,-10.3448
2006-10-10,-12.5
2006-11-14,4.3956
2006-12-21,-5.2632
