ticker,WUHN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-03,120.0
2000-02-07,0.0
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,0.0
2000-04-05,-77.2727
2000-04-26,0.0
2000-05-03,500.0
2000-05-25,0.0
2000-06-05,0.0
2000-06-20,-66.6667
2000-07-13,0.0
2000-07-14,-50.0
2000-09-27,12.0
2000-10-25,0.0
2000-12-04,-10.7143
2001-03-15,0.0
2001-07-18,-44.0
2002-02-21,-99.8214
2006-07-14,359900.0
2006-09-21,-55.5556
2006-09-29,0.0
2006-10-05,25.0
2006-10-23,-52.0
2006-10-27,0.0
2006-10-31,-50.0
2006-11-01,1.6667
2006-11-02,-1.6393
2006-11-07,-16.6667
2006-11-09,-30.0
2006-11-10,14.2857
2006-11-13,0.0
2006-11-14,0.0
2006-11-16,0.0
2006-11-20,0.0
2006-11-21,0.0
2006-11-22,0.0
2006-11-24,50.0
2006-11-27,-58.3333
2006-11-30,-20.0
2006-12-01,-50.0
2006-12-05,80.0
2006-12-06,0.0
2006-12-07,0.0
2006-12-13,0.0
2006-12-18,0.0
2006-12-19,122.2222
2006-12-21,-75.0
2006-12-22,300.0
2006-12-26,0.0
2006-12-27,225.0
2006-12-29,-98.2692
2007-01-04,22.4444
2007-01-05,100.5445
2007-01-18,-54.7511
2007-01-25,-77.0
2007-01-26,152.1739
2007-01-29,-39.6552
2007-01-30,-14.2857
2007-02-01,26.6667
2007-02-02,7.8947
2007-02-05,4.878
2007-02-06,16.2791
2007-02-07,-17.6
2007-02-08,118.4466
2007-02-09,-21.1111
2007-02-12,1.4085
2007-02-13,-19.4444
2007-02-14,1.7241
2007-02-15,-6.1017
2007-02-16,-15.1625
2007-02-20,7.6596
2007-02-22,-1.1858
2007-02-23,2.0
2007-02-26,5.8824
2007-02-27,-5.5556
2007-02-28,1.9607999999999999
2007-03-01,0.7692
2007-03-02,0.0
2007-03-05,14.5038
2007-03-06,-12.6667
2007-03-07,0.0
2007-03-08,0.0
2007-03-09,4.9618
2007-03-12,-1.8182
2007-03-13,0.0
2007-03-14,0.0
2007-03-15,0.0
2007-03-16,0.0
2007-03-19,0.0
2007-03-20,0.0
2007-03-21,0.0
2007-03-26,7.4074
2007-03-27,12.069
2007-03-28,38.4615
2007-03-29,4.0
2007-03-30,-16.6667
2007-04-02,-17.9487
2007-04-03,9.375
2007-04-04,-7.1429
2007-04-05,-11.3846
2007-04-09,-2.7778
2007-04-10,22.1429
2007-04-11,-3.5088
