ticker,MMBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-02,1600.0
2004-09-13,-5.8824
2004-09-14,-47.9167
2004-10-06,-40.0
2004-12-02,33.3333
2004-12-16,-35.0
2005-03-01,-7.6923
2005-03-02,0.0
2006-06-01,1108.3333
2006-06-02,162.069
2006-06-05,-40.7895
2006-06-06,-17.7778
2006-06-07,10.8108
2006-06-08,-2.439
2006-06-09,-14.5
2006-06-12,-3.5088
2006-06-13,-9.0909
2006-06-14,-16.6667
2006-06-15,52.8
2006-06-16,34.555
2006-06-19,-2.7237
2006-06-20,-8.0
2006-06-21,-13.0435
2006-06-22,-10.0
2006-06-23,0.5556
2006-06-26,2.2099
2006-06-27,16.2162
2006-06-28,4.6512
2006-06-29,2.2222
2006-06-30,0.0
2006-07-03,4.6522
2006-07-05,-0.2908
2006-07-06,-0.4167
2006-07-07,-12.1339
2006-07-10,0.4762
2006-07-11,-5.2133
2006-07-12,6.0
2006-07-13,-6.1321
2006-07-14,-7.0352
2006-07-17,-2.7027
2006-07-18,0.5556
2006-07-19,0.0
2006-07-20,4.9724
2006-07-21,0.0
2006-07-24,0.0
2006-07-25,5.2632
2006-07-26,5.0
2006-07-27,-4.7619
2006-07-28,0.0
2006-07-31,0.0
2006-08-01,0.0
2006-08-02,0.0
2006-08-03,-2.5
2006-08-04,-5.1282
2006-08-08,-2.7027
2006-08-09,2.7778
2006-08-10,-2.7027
2006-08-14,0.0
2006-08-15,0.0
2006-08-16,0.0
2006-08-17,0.0
2006-08-18,0.0
2006-08-21,2.7778
2006-08-22,-2.7027
2006-08-23,5.5556
2006-08-24,0.0
2006-08-25,0.0
2006-08-28,0.0
2006-08-30,5.2632
2006-08-31,0.0
2006-09-01,5.0
2006-09-05,-4.7619
2006-09-06,0.0
2006-09-07,0.0
2006-09-11,0.0
2006-09-14,0.0
2006-09-15,0.0
2006-09-20,-5.0
2006-09-21,0.0
2006-09-22,0.0
2006-09-25,0.0
2006-09-26,-2.6316
2006-09-27,-2.7027
2006-09-28,0.0
2006-09-29,0.0
2006-10-02,-22.2222
2006-10-03,7.1429
2006-10-04,0.0
2006-10-05,-2.6667
2006-10-06,2.7397
2006-10-09,0.0
2006-10-10,3.3333
2006-10-12,0.0
2006-10-13,0.0
2006-10-16,0.0
2006-10-17,0.0
2006-10-18,0.0
2006-10-19,-3.2258
2006-10-20,0.0
2006-10-23,0.0
2006-10-24,-13.3333
2006-10-25,0.7692
2006-10-26,1.5267
2006-10-30,-1.5038
