ticker,RVNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-07,-4.7059
2007-03-08,-2.4691
2007-03-09,-3.7975
2007-03-15,0.0
2007-03-19,-5.2632
2007-03-21,0.0
2007-03-22,5.5556
2007-03-23,-4.6053
2007-03-27,-2.069
2007-03-28,0.0
2007-03-30,-1.4085
2007-04-04,-8.5714
2007-04-09,12.5
2007-04-10,0.0
2007-04-11,-2.7778
2007-04-12,2.8571
2007-04-13,-2.7778
2007-04-16,-2.8571
2007-04-17,-5.8824
2007-04-18,1.5625
2007-04-19,-0.3077
2007-04-23,0.3086
2007-04-24,0.0
2007-04-30,-1.5385
2007-05-01,-4.6875
2007-05-03,14.7541
2007-05-07,0.0
2007-05-08,-5.7143
2007-05-09,6.0606
2007-05-10,5.7143
2007-05-11,5.4054
2007-05-14,-3.8462
2007-05-15,-1.3333
2007-05-16,1.3514
2007-05-17,6.6667
2007-05-18,-6.25
2007-05-22,6.6667
2007-05-24,0.0
2007-05-25,0.0
2007-05-29,-4.375
2007-05-30,1.9607999999999999
2007-05-31,6.4103
2007-06-01,11.4458
2007-06-04,8.1081
2007-06-05,10.0
2007-06-06,9.0909
2007-06-07,8.75
2007-06-08,17.931
2007-06-11,4.6134
2007-06-12,-19.2547
2007-06-13,-4.6154
2007-06-14,-1.6129
2007-06-15,4.918
2007-06-18,0.0
2007-06-19,3.125
2007-06-20,-0.7576
2007-06-21,3.0534
2007-06-22,-1.4815
2007-06-25,-3.0075
2007-06-26,-1.5504
2007-06-27,-1.5748
2007-06-28,-5.6
2007-06-29,8.4746
2007-07-02,15.625
2007-07-03,8.7162
2007-07-05,7.5202
2007-07-06,-0.578
2007-07-09,-22.6744
2007-07-10,13.5338
2007-07-11,-5.9603
2007-07-12,4.2254
2007-07-13,0.6757
2007-07-16,-1.3423
2007-07-17,-2.7211
2007-07-18,-2.0979
2007-07-19,-8.9286
2007-07-20,3.1373
2007-07-23,-1.1407
2007-07-24,-9.2308
2007-07-25,5.9322
2007-07-26,0.8
2007-07-27,0.7937
2007-07-30,-1.5748
2007-07-31,0.0
2007-08-01,-4.0
2007-08-02,-1.6667
2007-08-03,-10.5932
2007-08-06,-4.2654
2007-08-07,17.8218
2007-08-08,4.2017
2007-08-09,-4.8387
2007-08-10,-0.8475
2007-08-13,-0.8547
2007-08-14,-6.0345
2007-08-15,0.0
2007-08-16,0.9174
2007-08-17,3.6364
2007-08-20,8.7719
2007-08-21,-4.8387
2007-08-22,2.5423999999999998
