ticker,ENZC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-03-04,-83.0
2009-04-07,0.0
2009-04-08,-50.9804
2009-04-27,0.0
2009-04-29,0.0
2009-04-30,-20.0
2009-05-04,-87.5
2009-05-05,700.0
2009-05-08,-87.5
2009-05-11,100.0
2009-05-15,400.0
2009-05-18,-30.0
2009-05-19,42.8571
2009-05-20,20.0
2009-05-21,-8.3333
2009-05-22,-9.0909
2009-05-26,70.0
2009-05-27,17.647100000000002
2009-05-28,-30.0
2009-05-29,-35.7143
2009-06-01,33.3333
2009-06-02,-33.3333
2009-06-03,-37.5
2009-06-04,-40.0
2009-06-05,133.3333
2009-06-08,0.0
2009-06-09,-35.7143
2009-06-10,100.0
2009-06-11,-15.5556
2009-06-12,31.5789
2009-06-15,0.0
2009-06-16,-30.0
2009-06-17,-36.7857
2009-06-18,35.5932
2009-06-19,-23.3333
2009-06-22,60.8696
2009-06-24,-37.8378
2009-06-25,0.0
2009-06-26,-8.6957
2009-06-30,0.0
2009-07-01,0.0
2009-07-02,-4.7619
2009-07-10,0.0
2009-07-13,0.0
2009-07-15,-12.5
2009-07-21,-14.2857
2009-07-23,-33.3333
2009-07-24,100.0
2009-07-27,0.0
2009-07-29,25.0
2009-07-31,40.0
2009-08-03,-11.4286
2009-08-04,12.9032
2009-08-05,-11.4286
2009-08-06,0.0
2009-08-07,38.7097
2009-08-10,13.9535
2009-08-11,22.449
2009-08-12,0.0
2009-08-13,0.0
2009-08-14,-8.3333
2009-08-17,7.2727
2009-08-18,-23.7288
2009-08-19,22.2222
2009-08-20,-18.1818
2009-08-21,-6.6667
2009-08-24,-4.7619
2009-08-25,5.0
2009-08-26,-7.1429
2009-08-27,7.6923
2009-08-28,19.0476
2009-08-31,-2.0
2009-09-01,-8.1633
2009-09-02,8.8889
2009-09-03,-8.1633
2009-09-04,-5.5556
2009-09-08,-5.8824
2009-09-09,0.0
2009-09-10,0.0
2009-09-11,-1.25
2009-09-14,1.2658
2009-09-15,-12.5
2009-09-16,2.8571
2009-09-17,0.0
2009-09-18,-2.7778
2009-09-21,-14.2857
2009-09-22,-16.6667
2009-09-23,19.5
2009-09-24,7.113
2009-09-25,3.125
2009-09-28,15.1515
2009-09-29,-21.0526
2009-09-30,20.0
2009-10-01,0.0
2009-10-02,-2.7778
2009-10-05,12.857099999999999
2009-10-06,1.2658
2009-10-07,12.5
2009-10-08,-4.4444
2009-10-09,9.3023
2009-10-12,2.1277
2009-10-13,0.0
