ticker,AYSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-09-06,166.6667
2001-09-17,50.0
2001-09-25,0.0
2001-09-26,0.0
2001-09-27,0.0
2001-10-01,-33.3333
2001-10-02,35.0
2001-10-03,-25.9259
2001-10-05,-12.5
2001-10-08,42.8571
2001-10-09,-20.0
2001-10-15,25.0
2001-10-22,16.0
2001-10-24,3.4483
2001-10-25,16.6667
2001-10-26,14.2857
2001-10-30,-18.75
2001-11-06,7.6923
2001-11-14,14.2857
2001-11-15,-20.0
2001-11-16,3.125
2001-11-20,21.2121
2001-11-26,-31.25
2001-11-27,38.1818
2001-11-28,2.6316
2001-12-04,-10.2564
2001-12-06,-2.8571
2001-12-07,-26.4706
2001-12-12,20.0
2001-12-14,-33.3333
2001-12-17,-47.5
2001-12-26,-2.8571
2001-12-31,0.0
2002-01-02,66.6667
2002-01-08,-40.5882
2002-01-15,-25.7426
2002-01-23,-20.0
2002-01-24,58.3333
2002-01-25,-36.8421
2002-01-28,0.0
2002-01-29,66.6667
2002-02-05,-40.0
2002-02-06,-50.0
2002-02-07,66.6667
2002-02-08,20.0
2002-02-11,-15.0
2002-02-12,-41.1765
2002-02-13,63.3333
2002-02-19,-36.7347
2002-02-21,-16.129
2002-03-07,-11.538499999999999
2002-03-08,-17.3913
2002-03-11,-21.0526
2002-03-12,-40.0
2002-03-14,11.1111
2002-03-15,0.0
2002-03-18,-10.0
2002-03-20,-44.4444
2002-03-21,0.0
2002-03-22,0.0
2002-03-25,0.0
2002-03-26,20.0
2002-03-27,116.6667
2002-03-28,-7.6923
2002-04-01,-25.0
2002-04-02,-5.5556
2002-04-03,-17.647100000000002
2002-04-04,28.5714
2002-04-05,0.0
2002-04-08,-22.2222
2002-04-09,28.5714
2002-04-10,100.0
2002-04-11,55.5556
2002-04-12,0.0
2002-04-15,-28.5714
2002-04-17,5.0
2002-04-18,-28.5714
2002-04-19,40.0
2002-04-22,-23.8095
2002-04-26,-18.75
2002-04-29,-11.538499999999999
2002-04-30,4.3478
2002-05-02,4.1667
2002-05-03,12.0
2002-05-06,21.4286
2002-05-07,-17.647100000000002
2002-05-09,17.8571
2002-05-13,9.0909
2002-05-14,5.5556
2002-05-15,-10.526299999999999
2002-05-16,17.647100000000002
2002-05-17,-5.0
2002-05-20,5.2632
2002-05-22,0.0
2002-05-23,0.0
2002-05-24,15.0
2002-05-28,0.0
2002-05-29,-15.2174
2002-05-30,0.0
2002-06-04,7.6923
2002-06-05,-4.7619
