ticker,VSRV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-14,-25.0
2007-09-17,-16.6667
2007-09-18,10.0
2007-09-19,0.0
2007-09-20,27.2727
2007-09-21,0.0
2007-09-24,14.2857
2007-09-26,6.25
2007-09-28,-11.7647
2007-10-01,33.3333
2007-10-02,-10.0
2007-10-03,1.1111
2007-10-04,-6.5934
2007-10-05,-5.8824
2007-10-18,-12.5
2007-10-19,0.0
2007-10-24,0.0
2007-11-01,0.0
2007-11-02,0.0
2007-11-05,0.0
2007-11-07,0.0
2007-11-08,0.0
2007-11-14,0.0
2007-11-20,0.0
2007-11-23,0.0
2007-11-27,0.0
2007-11-28,0.0
2007-11-29,0.0
2007-12-03,-7.1429
2007-12-04,7.6923
2007-12-06,-7.1429
2007-12-10,15.3846
2007-12-11,0.0
2007-12-17,0.0
2007-12-21,0.0
2007-12-31,46.6667
2008-01-04,-45.4545
2008-01-08,0.0
2008-01-10,23.3333
2008-01-15,0.0
2008-01-30,-18.9189
2008-01-31,-1.6667
2008-02-01,0.0
2008-02-04,0.0
2008-02-08,0.0
2008-02-13,-3.3898
2008-02-25,0.0
2008-02-26,-1.7544
2008-02-27,1.7856999999999998
2008-02-28,0.0
2008-02-29,-3.5088
2008-03-03,-18.1818
2008-03-04,-13.3333
2008-03-05,5.1282
2008-03-06,-4.878
2008-03-07,5.1282
2008-03-11,-2.439
2008-03-13,-2.5
2008-03-14,2.5641
2008-03-18,0.0
2008-03-19,-7.5
2008-03-20,-5.4054
2008-03-25,34.2857
2008-03-26,4.2553
2008-03-27,0.0
2008-03-28,-4.0816
2008-03-31,10.6383
2008-04-01,0.0
2008-04-03,3.8462
2008-04-04,1.8519
2008-04-07,9.0909
2008-04-08,-25.0
2008-04-10,-8.8889
2008-04-11,17.0732
2008-04-15,6.25
2008-04-16,-21.5686
2008-04-17,0.0
2008-04-21,-10.0
2008-04-22,8.3333
2008-04-23,7.6923
2008-04-24,7.1429
2008-04-25,2.2222
2008-04-28,13.0435
2008-05-01,9.6154
2008-05-02,-3.5088
2008-06-18,-34.5455
2008-06-20,22.2222
2008-06-23,9.0909
2008-07-31,-2.0833
2008-08-15,-25.5319
2008-08-28,2.8571
2008-09-05,5.5556
2008-09-11,0.0
2008-09-17,-23.6842
2008-09-19,31.0345
2008-10-03,0.0
2008-10-06,-31.5789
2008-10-30,15.3846
2009-02-03,-20.0
2009-02-04,0.0
2009-04-01,16.6667
2009-06-03,-10.7143
2009-07-01,-80.0
