ticker,SFEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,0.0
2000-01-07,0.0
2000-01-11,1.2346
2000-01-12,0.0
2000-01-24,0.0
2000-01-25,-2.439
2000-01-26,3.75
2000-01-31,2.4096
2000-02-01,-2.3529
2000-02-04,0.0
2000-02-07,-2.4096
2000-02-08,0.0
2000-02-14,4.9383
2000-02-18,-4.7059
2000-02-25,0.0
2000-02-28,0.0
2000-03-02,0.0
2000-03-16,0.0
2000-03-21,-4.9383
2000-03-23,0.0
2000-03-24,-11.6883
2000-03-27,5.8824
2000-03-28,0.0
2000-03-29,-2.7778
2000-04-04,5.7143
2000-04-05,13.5135
2000-04-10,-16.6667
2000-04-13,0.0
2000-04-14,2.8571
2000-04-17,0.0
2000-05-16,-2.7778
2000-05-22,1.4285999999999999
2000-05-30,1.4085
2000-06-02,0.0
2000-06-06,0.0
2000-06-13,2.7778
2000-06-19,-2.7027
2000-07-12,0.0
2000-07-18,-2.7778
2000-07-20,0.0
2000-07-28,2.8571
2000-08-02,0.0
2000-08-03,0.0
2000-08-15,8.3333
2000-08-22,5.1282
2000-08-24,-7.3171
2000-08-31,5.2632
2000-09-06,20.0
2000-09-11,-22.9167
2000-09-25,2.7027
2000-10-10,7.8947
2000-10-12,-4.878
2000-10-18,-6.4103
2000-10-19,-1.3699
2000-11-02,2.7778
2000-11-03,5.4054
2000-11-06,5.1282
2000-11-07,9.7561
2000-11-08,-2.2222
2000-11-09,27.2727
2000-11-14,-21.4286
2000-11-16,6.8182
2000-11-22,-6.383
2000-11-24,0.0
2000-11-28,0.0
2000-11-29,4.5455
2000-12-01,-4.3478
2000-12-04,0.0
2000-12-07,2.2727
2000-12-08,-2.2222
2000-12-13,-2.2727
2000-12-19,0.0
2000-12-22,0.0
2001-01-02,2.3256
2001-01-08,0.0
2001-01-11,2.2727
2001-01-17,-4.4444
2001-01-19,27.907
2001-01-23,-21.8182
2001-01-25,11.6279
2001-02-01,0.0
2001-02-21,-6.25
2001-02-28,20.0
2001-04-16,-16.6667
2001-04-26,-6.6667
2001-04-27,2.3810000000000002
2001-05-09,2.3256
2001-06-04,-2.2727
2001-06-08,0.0
2001-06-11,2.3256
2001-06-12,-2.2727
2001-06-13,4.6512
2001-06-20,20.0
2001-06-26,-18.5185
2001-07-06,13.6364
2001-07-20,8.0
2001-07-23,0.0
2001-07-24,-3.7037
2001-07-27,-3.8462
2001-07-31,8.0
2001-08-01,-3.7037
