ticker,WDLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-26,8.3333
2005-06-01,-7.6923
2005-06-02,-50.0
2005-06-07,76.6667
2005-06-10,-24.5283
2005-06-14,-37.5
2005-06-15,-8.0
2005-06-21,30.4348
2005-06-22,-23.3333
2005-06-24,-4.3478
2005-06-30,62.7273
2005-07-01,11.7318
2005-07-06,10.5
2005-07-11,-20.8145
2005-07-19,14.2857
2005-07-28,-12.5
2005-09-02,-2.8571
2005-09-08,-17.647100000000002
2005-09-14,-10.7143
2005-09-16,-44.0
2005-09-19,0.0
2005-10-26,28.5714
2005-11-07,-16.6667
2005-11-09,40.0
2005-11-10,-3.8095
2005-11-11,0.0
2005-11-14,0.0
2005-11-15,-19.802
2005-11-16,-19.7531
2005-11-17,15.3846
2005-11-18,0.0
2005-11-21,-12.6667
2005-11-22,-0.7634
2005-11-23,-15.3846
2005-11-28,-27.2727
2005-11-30,12.5
2005-12-01,0.0
2005-12-07,-20.0
2005-12-09,38.8889
2005-12-12,-28.0
2005-12-13,25.0
2005-12-14,0.0
2005-12-20,-11.1111
2005-12-22,-37.5
2005-12-23,-12.0
2005-12-27,0.0
2005-12-29,13.6364
2005-12-30,60.0
2006-01-03,-25.0
2006-01-04,33.3333
2006-01-05,-12.5
2006-01-06,-10.0
2006-01-09,-20.634900000000002
2006-01-10,20.0
2006-01-17,-23.3333
2006-01-18,-8.6957
2006-01-19,38.0952
2006-01-25,0.0
2006-01-26,-34.4828
2006-01-27,47.3684
2006-02-01,-10.7143
2006-02-02,-20.0
2006-02-03,-20.0
2006-02-06,75.0
2006-02-07,0.0
2006-02-10,0.0
2006-02-13,10.7143
2006-02-14,-16.129
2006-02-15,7.6923
2006-02-16,0.0
2006-02-21,-3.5714
2006-03-03,0.0
2006-03-17,-3.7037
2006-03-20,0.0
2006-03-22,3.8462
2006-03-28,3.7037
2006-04-03,0.0
2006-04-07,0.0
2006-04-17,0.0
2006-04-18,7.1429
2006-04-19,-46.3333
2006-04-20,92.5466
2006-04-21,0.0
2006-04-24,0.0
2006-04-25,-3.2258
2006-04-27,0.0
2006-05-02,-6.6667
2006-05-10,0.0
2006-05-15,0.0
2006-05-16,-21.4286
2006-05-17,-27.2727
2006-05-24,-6.25
2006-05-26,-33.3333
2006-05-31,-20.0
2006-06-01,7.5
2006-06-02,16.2791
2006-06-05,0.0
2006-06-06,-10.0
2006-06-07,-11.1111
2006-06-08,0.0
2006-06-13,-37.5
2006-06-15,-20.0
