ticker,BIOQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,11.7647
2000-01-11,0.0
2000-01-13,-10.526299999999999
2000-01-25,11.7647
2000-01-26,-15.7895
2000-02-01,75.0
2000-02-02,-3.5714
2000-02-03,-11.1111
2000-02-04,-16.6667
2000-02-07,0.0
2000-02-08,20.0
2000-02-09,8.3333
2000-02-14,0.0
2000-02-16,0.0
2000-02-25,-15.3846
2000-02-28,0.0
2000-02-29,18.1818
2000-03-01,0.0
2000-03-02,3.8462
2000-03-03,14.8148
2000-03-06,0.0
2000-03-07,12.9032
2000-03-08,15.7143
2000-03-09,3.7037
2000-03-10,0.0
2000-03-13,80.9524
2000-03-14,-31.5789
2000-03-15,26.9231
2000-03-16,-16.6667
2000-03-17,-5.4545
2000-03-20,-11.538499999999999
2000-03-21,17.3913
2000-03-22,-1.8519
2000-03-23,0.0
2000-03-24,-5.6604
2000-03-27,0.0
2000-03-29,-14.0
2000-03-30,16.2791
2000-03-31,-14.0
2000-04-04,-11.6279
2000-04-05,-15.7895
2000-04-06,0.0
2000-04-07,-9.375
2000-04-11,-10.3448
2000-04-12,7.6923
2000-04-13,-14.2857
2000-04-14,0.0
2000-04-17,-16.6667
2000-04-18,20.0
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,0.0
2000-04-28,16.6667
2000-05-01,3.5714
2000-05-08,-10.3448
2000-05-11,0.0
2000-05-12,0.0
2000-05-16,0.0
2000-05-17,0.0
2000-05-19,-7.6923
2000-05-22,0.0
2000-05-23,-8.3333
2000-05-24,13.6364
2000-05-26,-16.0
2000-05-31,-4.7619
2000-06-02,0.0
2000-06-06,5.0
2000-06-12,14.2857
2000-06-14,-16.6667
2000-06-15,0.0
2000-06-19,0.0
2000-06-20,0.4
2000-06-27,34.4622
2000-06-30,-25.9259
2000-07-10,35.0
2000-07-11,-3.7037
2000-07-12,3.8462
2000-08-07,-12.963
2000-08-08,-2.1277
2000-08-10,-8.6957
2000-08-14,29.7619
2000-08-25,-19.2661
2000-08-28,4.5455
2000-08-29,4.3478
2000-08-31,-4.1667
2000-09-01,21.7391
2000-09-05,-16.9643
2000-09-08,4.3025
2000-09-22,12.5
2000-09-25,-7.4074
2000-09-28,-2.0
2000-10-02,18.3673
2000-10-04,-15.5172
2000-10-06,0.0
2000-10-16,6.1224
2000-10-17,-3.8462
2000-10-18,0.0
2000-10-19,8.0
2000-10-23,-11.1111
2000-10-24,0.0
2000-10-25,-2.0833
2000-10-26,0.0
