ticker,GDSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-10-03,-20.0
2001-10-04,0.0
2001-10-08,66.6667
2001-10-15,-40.0
2001-10-16,66.6667
2001-10-23,-40.0
2001-10-24,-16.6667
2001-10-25,20.0
2001-10-30,16.6667
2001-10-31,-1.4285999999999999
2001-11-05,-13.0435
2001-11-06,16.6667
2001-11-14,7.1429
2001-11-15,26.6667
2001-11-21,6.3158
2001-11-29,-8.9109
2001-12-04,-7.6087
2001-12-14,-5.8824
2002-01-04,6.25
2002-01-18,0.0
2002-03-18,-11.7647
2002-03-22,0.0
2002-05-29,-6.6667
2002-06-10,-27.1429
2002-06-13,7.8431
2002-06-26,-45.4545
2002-06-27,70.0
2002-08-14,-47.0588
2002-12-24,7.4074
2002-12-31,-13.7931
2003-01-22,112.0
2003-01-29,50.9434
2003-01-30,-36.25
2003-01-31,-56.8627
2003-10-07,27.2727
2003-10-08,7.1429
2003-10-09,16.6667
2003-10-20,-14.2857
2003-10-23,0.0
2003-10-27,150.0
2003-10-29,-60.0
2003-11-03,0.0
2004-01-22,-3.3333
2004-01-27,0.0
2004-01-29,37.931
2004-01-30,0.0
2004-02-02,25.0
2004-02-04,102.0
2004-02-05,-15.8416
2004-02-06,64.7059
2004-02-09,-1.4285999999999999
2004-02-10,30.4348
2004-02-11,0.0
2004-02-12,-4.4444
2004-02-13,7.5581
2004-02-17,-2.7027
2004-02-18,-2.7778
2004-02-19,0.0
2004-02-24,5.7143
2004-02-25,-16.2162
2004-02-27,0.0
2004-03-02,25.8065
2004-03-03,-17.9487
2004-03-05,12.5
2004-03-10,0.0
2004-03-15,-11.1111
2004-03-16,10.625
2004-03-17,7.3446
2004-03-18,5.2632
2004-03-24,0.0
2004-03-25,12.5
2004-03-26,-2.2222
2004-03-30,-9.0909
2004-03-31,25.0
2004-04-02,-10.0
2004-04-06,-0.8889
2004-04-07,0.0
2004-04-08,21.0762
2004-04-12,-7.4074
2004-04-13,0.0
2004-04-14,4.0
2004-04-15,-11.538499999999999
2004-04-16,5.2174
2004-04-19,-8.2645
2004-04-20,12.6126
2004-04-22,-19.2
2004-04-23,23.7624
2004-04-26,-4.0
2004-04-27,-7.5
2004-05-03,-9.9099
2004-05-04,15.0
2004-05-05,-4.3478
2004-05-06,-11.3636
2004-05-07,1.0256
2004-05-10,1.5228000000000002
2004-05-11,-10.0
2004-05-12,5.5556
2004-05-18,2.6316
2004-05-19,-7.6923
2004-05-20,8.3333
2004-05-24,-5.1282
