ticker,JAZTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-11-15,-25.5762
2003-03-26,-85.0746
2003-05-13,146.8438
2003-05-15,3.3042
2003-08-13,-17.647100000000002
2003-08-15,-4.7619
2003-08-19,7.5
2003-08-21,20.9302
2003-11-19,-23.0769
2003-12-11,5.0
2003-12-30,-4.7619
2004-01-30,0.0
2004-02-10,0.0
2004-04-22,-10.0
2004-08-20,-22.2222
2004-09-24,92.8571
2004-09-28,-3.7037
2004-09-30,5.7692
2004-10-04,0.0
2004-10-08,-3.6364
2004-10-11,-5.6604
2004-10-13,2.0
2004-10-25,-1.9607999999999999
2004-10-26,42.0
2004-10-27,-1.4085
2004-10-28,18.5714
2004-10-29,-3.6145
2004-11-01,-1.25
2004-11-02,1.2658
2004-11-03,0.0
2004-11-04,-1.25
2004-11-05,2.5316
2004-11-09,0.0
2004-11-10,29.6296
2004-11-11,9.5238
2004-11-12,8.6957
2004-11-15,-21.6
2004-11-16,7.1429
2004-11-17,0.0
2004-11-19,0.0
2004-11-22,2.8571
2004-11-24,1.8519
2004-11-30,-2.7273
2004-12-01,-7.757
2004-12-02,3.3435
2004-12-08,7.8431
2004-12-09,0.0
2004-12-10,0.0
2004-12-13,0.0
2004-12-14,0.0
2004-12-15,-4.5455
2004-12-16,0.0
2004-12-17,3.8095
2004-12-20,3.6696999999999997
2004-12-21,-3.5398
2004-12-23,-0.9174
2004-12-27,0.0
2004-12-28,-14.8148
2005-01-03,16.3043
2005-01-04,0.0
2005-01-05,-2.8037
2005-01-10,0.0
2005-01-11,0.0
2005-01-12,-2.6923
2005-01-25,1.7787
2005-01-28,-6.7961
2005-02-01,1.0417
2005-02-07,24.7423
2005-02-08,3.3058
2005-02-09,-6.4
2005-02-10,2.5641
2005-02-11,6.6667
2005-02-14,8.5937
2005-02-15,-2.8777
2005-02-16,-2.963
2005-02-17,6.8702
2005-02-18,0.0
2005-02-22,-3.5714
2005-02-23,3.7037
2005-02-24,-2.1429
2005-02-25,-3.6496
2005-02-28,0.7576
2005-03-01,1.8515000000000001
2005-03-02,6.3025
2005-03-03,4.1667
2005-03-04,0.6667
2005-03-07,-0.6623
2005-03-08,2.0
2005-03-09,7.8431
2005-03-10,-3.0303
2005-03-11,-4.375
2005-03-14,0.0
2005-03-15,7.8431
2005-03-17,-4.5076
2005-03-18,-1.6263
2005-03-21,16.129
2005-03-22,-4.4444
2005-03-23,-1.1628
2005-03-24,8.8235
2005-03-28,2.7027
2005-03-29,10.526299999999999
