ticker,ICCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.8947
2000-01-04,21.9512
2000-01-05,-4.0
2000-01-06,0.0
2000-01-07,12.5
2000-01-10,-5.5556
2000-01-11,0.0
2000-01-12,1.9607999999999999
2000-01-13,-5.7692
2000-01-14,-6.1224
2000-01-18,-10.8696
2000-01-19,4.878
2000-01-20,6.9767
2000-01-21,0.0
2000-01-24,-4.3478
2000-01-25,4.5455
2000-01-26,13.0435
2000-01-27,-11.538499999999999
2000-01-28,-4.3478
2000-01-31,6.8182
2000-02-01,2.1277
2000-02-02,-8.3333
2000-02-03,6.8182
2000-02-04,-6.383
2000-02-07,0.0
2000-02-08,127.2727
2000-02-09,-28.5
2000-02-10,-4.8951
2000-02-11,2.2059
2000-02-14,0.7194
2000-02-15,-5.7143
2000-02-16,10.6061
2000-02-17,35.6164
2000-02-18,-9.0909
2000-02-22,-15.5556
2000-02-23,-2.6316
2000-02-24,-5.4054
2000-02-25,2.8571
2000-02-28,-5.5556
2000-02-29,17.647100000000002
2000-03-01,13.75
2000-03-02,5.4945
2000-03-03,-1.0417
2000-03-06,2.1053
2000-03-07,13.4021
2000-03-08,-4.0909
2000-03-09,11.8483
2000-03-10,15.2542
2000-03-13,-5.8824
2000-03-14,-15.625
2000-03-15,-2.7778
2000-03-16,-8.5714
2000-03-17,-7.2917
2000-03-20,3.3708
2000-03-21,-5.4348
2000-03-22,1.7241
2000-03-23,15.2542
2000-03-24,-8.8235
2000-03-27,-6.4516
2000-03-28,1.1494
2000-03-29,-4.5455
2000-03-30,-8.3333
2000-03-31,-6.4935
2000-04-03,-0.3472
2000-04-04,-5.2265
2000-04-05,5.8824
2000-04-06,11.1111
2000-04-07,0.0
2000-04-10,1.25
2000-04-11,-3.7037
2000-04-12,-6.4103
2000-04-13,-4.1096
2000-04-14,-15.7143
2000-04-17,-15.2542
2000-04-18,-2.0
2000-04-19,30.6122
2000-04-20,-3.125
2000-04-24,-8.0645
2000-04-25,5.2632
2000-04-26,5.0
2000-04-27,-3.1746
2000-04-28,-8.1967
2000-05-01,7.1429
2000-05-02,1.6667
2000-05-03,-4.918
2000-05-04,-1.7241
2000-05-05,-4.386
2000-05-08,6.422
2000-05-10,-8.6207
2000-05-11,-3.7736
2000-05-12,1.9607999999999999
2000-05-15,0.0
2000-05-16,7.6923
2000-05-17,-5.3571
2000-05-18,1.8868
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,-9.2593
2000-05-24,-4.0816
