ticker,HGLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-06,50.0
2000-01-11,-46.6667
2000-01-12,0.0
2000-01-18,87.5
2000-01-21,-46.6667
2000-02-03,20.0
2000-02-07,0.0
2000-02-08,4.1667
2000-02-10,-4.0
2000-02-11,-16.6667
2000-02-16,87.5
2000-02-17,-46.6667
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,87.5
2000-03-07,0.0
2000-03-22,-46.6667
2000-03-23,90.0
2000-03-24,-47.3684
2000-03-27,80.0
2000-03-28,0.0
2000-03-29,-44.4444
2000-03-30,0.0
2000-04-03,0.0
2000-04-04,0.0
2000-04-13,-50.0
2000-04-18,-60.0
2000-05-22,0.0
2000-06-15,-45.0
2000-06-21,0.0
2000-07-17,354.5455
2000-08-07,100.0
2000-08-09,-80.0
2000-08-10,0.0
2000-08-21,0.0
2000-08-25,0.0
2000-09-01,0.0
2000-09-22,0.0
2000-11-02,50.0
2000-11-14,-33.3333
2000-11-16,0.0
2000-11-17,-50.0
2000-11-20,50.0
2000-11-21,4.1667
2000-11-27,-4.0
2000-11-29,-33.3333
2000-12-06,0.0
2000-12-07,0.0
2000-12-11,0.0
2000-12-12,100.0
2000-12-14,-50.0
2000-12-15,0.0
2000-12-20,0.0
2000-12-22,0.0
2000-12-27,0.0
2000-12-29,0.0
2001-01-31,390.0
2001-02-01,63.2653
2001-03-14,-75.0
2001-03-16,0.0
2001-03-19,0.0
2001-06-26,0.0
2001-08-06,150.0
2001-08-08,-40.0
2001-08-16,66.6667
2001-08-31,-40.0
2001-10-02,33.3333
2001-10-23,0.0
2001-10-30,0.0
2001-12-14,-37.5
2001-12-18,0.0
2001-12-27,0.0
2001-12-28,0.0
2001-12-31,0.0
2002-01-04,0.0
2002-01-08,0.0
2002-01-23,-20.0
2002-02-05,0.0
2002-03-08,0.0
2002-04-15,-25.0
2002-04-16,0.0
2002-04-24,0.0
2002-04-30,-33.3333
2002-05-17,0.0
2002-05-23,0.0
2002-05-24,0.0
2002-06-05,0.0
2002-06-19,0.0
2002-06-24,0.0
2002-07-09,-50.0
2002-07-15,0.0
2002-07-17,0.0
2002-07-23,0.0
2002-08-23,0.0
2002-09-24,160.0
2002-10-04,0.0
2002-10-11,15.3846
2002-10-30,-33.3333
2002-11-12,0.0
2002-11-15,-50.0
2002-12-06,0.0
2002-12-11,0.0
2002-12-13,0.0
2002-12-16,0.0
2002-12-31,0.0
2003-01-16,0.0
2003-01-17,0.0
2003-01-21,0.0
