ticker,TSCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,10.1145
2000-01-04,-6.4125
2000-01-05,-8.1481
2000-01-06,6.8548
2000-01-07,18.1132
2000-01-10,5.1118
2000-01-11,-2.7356
2000-01-12,-3.9063
2000-01-13,2.8455
2000-01-14,1.1858
2000-01-18,-1.0937999999999999
2000-01-19,4.2654
2000-01-20,-6.3636
2000-01-21,5.9871
2000-01-24,-6.2595
2000-01-25,-3.0945
2000-01-26,-3.5294
2000-01-27,0.3484
2000-01-28,-0.6944
2000-01-31,-1.5734
2000-02-01,-1.9538
2000-02-02,-1.6303999999999998
2000-02-03,-2.0258
2000-02-04,-0.188
2000-02-07,4.7081
2000-02-08,11.5108
2000-02-09,-8.7097
2000-02-10,5.8304
2000-02-11,2.1703
2000-02-14,0.0
2000-02-15,-0.817
2000-02-16,270.4546
2000-02-17,-7.9755
2000-02-18,-4.8889
2000-02-22,6.5421
2000-02-23,-4.8246
2000-02-24,3.2258
2000-02-25,8.482099999999999
2000-02-28,-3.7037
2000-02-29,-0.8547
2000-03-01,-4.3103
2000-03-02,0.9009
2000-03-03,16.0714
2000-03-06,-1.5385
2000-03-07,10.9375
2000-03-08,7.0423
2000-03-09,-4.6053
2000-03-10,0.0
2000-03-13,-1.3793
2000-03-14,2.0979
2000-03-15,1.3699
2000-03-16,6.0811
2000-03-17,1.2739
2000-03-20,-11.9497
2000-03-21,3.5714
2000-03-22,-1.7241
2000-03-23,0.3509
2000-03-24,4.5455
2000-03-27,-1.6722000000000001
2000-03-28,-5.4422
2000-03-29,3.5971
2000-03-30,-3.4722
2000-03-31,5.036
2000-04-03,-20.5479
2000-04-04,1.7241
2000-04-05,5.9322
2000-04-06,-3.2
2000-04-07,2.4793
2000-04-10,-16.129
2000-04-11,3.8462
2000-04-12,-6.4815
2000-04-13,-5.9406
2000-04-14,-7.3684
2000-04-17,9.0909
2000-04-18,7.2917
2000-04-19,0.9709
2000-04-20,-2.8846
2000-04-24,-1.9802
2000-04-25,6.0606
2000-04-26,-6.1905
2000-04-27,3.5533
2000-04-28,2.9412000000000003
2000-05-01,-6.6667
2000-05-02,-10.2041
2000-05-03,-6.8182
2000-05-04,18.2927
2000-05-05,-4.1237
2000-05-08,5.3763
2000-05-09,-1.5306
2000-05-10,-13.9896
2000-05-11,12.0482
2000-05-12,-11.828
2000-05-15,-3.0488
2000-05-16,-1.2579
2000-05-17,1.9108
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,0.0
