ticker,STMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.2012
2000-01-04,0.304
2000-01-05,10.1515
2000-01-06,-11.967
2000-01-07,-3.2813
2000-01-10,4.3619
2000-01-11,-8.3591
2000-01-12,-8.1081
2000-01-13,-0.3676
2000-01-14,-1.6604999999999999
2000-01-18,22.7017
2000-01-19,5.6575
2000-01-20,0.1447
2000-01-21,2.8902
2000-01-24,6.7416
2000-01-25,-0.7895
2000-01-26,-8.2228
2000-01-27,-4.0462
2000-01-28,-15.3614
2000-01-31,-4.6263
2000-02-01,-3.3582
2000-02-02,0.1931
2000-02-03,-6.7437000000000005
2000-02-04,-7.8512
2000-02-07,17.4888
2000-02-08,-5.5344
2000-02-09,0.404
2000-02-10,16.2978
2000-02-11,-7.9585
2000-02-14,-3.0075
2000-02-15,6.7829
2000-02-16,1.6334
2000-02-17,9.1071
2000-02-18,-6.5466
2000-02-22,-1.5762
2000-02-23,-4.9822
2000-02-24,-3.7453
2000-02-25,-3.8911
2000-02-28,-1.6194
2000-02-29,-6.7901
2000-03-01,-11.0375
2000-03-02,-0.7444
2000-03-03,2.5
2000-03-06,-8.0488
2000-03-07,25.9947
2000-03-08,9.2632
2000-03-09,-4.0462
2000-03-10,6.4257
2000-03-13,-2.2641999999999998
2000-03-14,-7.3359
2000-03-15,-6.4583
2000-03-16,1.7816999999999998
2000-03-17,-2.1882
2000-03-20,-7.3826
2000-03-21,0.9662
2000-03-22,-1.9139
2000-03-23,-4.3902
2000-03-24,4.8469
2000-03-27,-0.7299
2000-03-28,-2.9412000000000003
2000-03-29,-6.8182
2000-03-30,-11.1111
2000-03-31,-5.7927
2000-04-03,-25.2427
2000-04-04,2.1645
2000-04-05,8.4746
2000-04-06,4.6875
2000-04-07,-9.3284
2000-04-10,0.0
2000-04-11,-14.4033
2000-04-12,-9.6154
2000-04-13,-10.1064
2000-04-14,9.4675
2000-04-17,8.1081
2000-04-18,29.0
2000-04-19,-11.6279
2000-04-20,7.0175
2000-04-24,-9.0164
2000-04-25,6.3063
2000-04-26,-8.8983
2000-04-27,9.7674
2000-04-28,8.4746
2000-05-01,-2.3438
2000-05-02,-13.6
2000-05-03,7.4074
2000-05-04,-1.2931
2000-05-05,-3.8209999999999997
2000-05-08,-13.7344
2000-05-09,-1.0526
2000-05-10,-9.5745
2000-05-11,13.5294
2000-05-12,-9.3264
2000-05-15,12.5714
2000-05-16,-10.1523
2000-05-17,-1.1299
2000-05-18,0.5714
