ticker,KKUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-26,380.0
2000-01-27,0.0
2000-01-28,-83.3333
2000-03-20,0.0
2000-05-01,0.0
2000-10-31,50.0
2000-11-14,0.0
2000-11-16,233.3333
2000-11-29,0.0
2000-12-19,-50.0
2000-12-20,-12.0
2000-12-21,-54.5455
2000-12-29,-30.0
2001-01-04,-28.5714
2001-01-30,0.0
2001-04-30,0.0
2001-08-30,-40.0
2001-10-02,0.0
2001-12-05,0.0
2002-02-13,0.0
2002-03-06,0.0
2002-04-04,0.0
2002-08-12,-66.6667
2002-08-20,0.0
2002-10-10,-50.0
2002-12-23,0.0
2002-12-31,0.0
2003-01-16,0.0
2003-01-30,0.0
2004-02-02,-97.5
2004-03-11,0.0
2004-04-07,159900.0
2004-04-30,-95.0
2004-06-29,-98.75
2004-08-11,7900.0
2004-09-17,0.0
2004-11-01,0.0
2004-11-03,0.0
2004-11-26,0.0
2005-01-12,0.0
2005-01-27,1900.0
2005-04-04,-72.5
2005-04-20,-54.5455
2005-04-26,-10.0
2005-05-12,50.0
2005-05-13,74.8148
2005-05-16,18.6441
2005-05-17,-3.5714
2005-05-18,-20.0
2005-05-19,14.8148
2005-05-20,4.8387
2005-05-23,8.461500000000001
2005-05-24,-9.2199
2005-05-25,-29.6875
2005-05-26,-21.1111
2005-05-27,-18.3099
2005-05-31,15.5172
2005-06-01,15.8209
2005-06-02,-18.8144
2005-06-03,-3.1746
2005-06-06,-4.918
2005-06-07,-5.1724
2005-06-08,3.6364
2005-06-09,-12.2807
2005-06-10,-2.0
2005-06-13,6.1224
2005-06-14,5.7692
2005-06-15,-5.4545
2005-06-16,-3.8462
2005-06-17,0.0
2005-06-20,4.0
2005-06-21,0.9615
2005-06-22,-14.2857
2005-06-23,11.1111
2005-06-24,4.0
2005-06-27,1.9231
2005-06-28,-13.2075
2005-06-29,-30.4348
2005-06-30,-3.125
2005-07-01,0.0
2005-07-05,3.2258
2005-07-06,-15.625
2005-07-07,-18.5185
2005-07-08,22.7273
2005-07-11,0.0
2005-07-12,-11.1111
2005-07-13,0.0
2005-07-15,4.1667
2005-07-18,-4.0
2005-07-19,79.1667
2005-07-20,2.3256
2005-07-21,-13.6364
2005-07-22,15.7895
2005-07-25,18.1818
2005-07-26,0.0
2005-07-27,0.0
2005-07-28,-7.6923
2005-07-29,6.25
2005-08-01,0.0
2005-08-02,0.0
2005-08-03,-5.8824
2005-08-04,-6.25
2005-08-05,-15.5556
2005-08-08,7.8947
