ticker,KRBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-08,82.8571
2006-11-09,118.75
2006-11-10,14.2857
2006-11-13,112.5
2006-11-17,23.5294
2006-11-20,66.6667
2006-11-21,38.8889
2006-11-28,-54.0
2006-11-29,-13.0435
2006-11-30,0.0
2006-12-01,0.0
2006-12-04,0.0
2006-12-05,-25.0
2006-12-08,66.6667
2006-12-13,-20.0
2006-12-19,12.5
2006-12-22,122.2222
2007-01-03,-30.0
2007-01-05,-14.2857
2007-01-08,0.0
2007-01-09,-8.3333
2007-01-16,-49.0909
2007-01-17,21.4286
2007-01-18,-1.1764999999999999
2007-01-19,-1.7856999999999998
2007-01-22,4.2424
2007-01-23,3.4884
2007-01-24,11.7978
2007-01-25,-4.5226
2007-01-26,-4.2105
2007-01-29,1.6484
2007-01-30,2.7027
2007-01-31,13.1579
2007-02-01,3.2558
2007-02-02,-0.4505
2007-02-05,9.0498
2007-02-06,-4.5643
2007-02-07,2.1739
2007-02-08,-2.5532
2007-02-09,-6.1135
2007-02-12,-0.4651
2007-02-13,0.0
2007-02-14,-4.2056000000000004
2007-02-15,0.9756
2007-02-16,6.2802
2007-02-20,4.5455
2007-02-21,2.1739
2007-02-22,2.1277
2007-02-23,-8.3333
2007-02-26,-4.5908999999999995
2007-02-27,-16.627
2007-02-28,6.8571
2007-03-01,-4.8128
2007-03-02,-17.4157
2007-03-05,-14.966
2007-03-06,12.0
2007-03-07,-12.857099999999999
2007-03-08,7.377
2007-03-09,-0.7634
2007-03-12,3.0769
2007-03-13,-4.4776
2007-03-14,0.0
2007-03-15,-1.5625
2007-03-16,0.7937
2007-03-19,-5.5118
2007-03-20,0.8333
2007-03-21,3.3058
2007-03-22,-4.8
2007-03-23,-0.8403
2007-03-26,18.6441
2007-03-27,-4.2857
2007-03-28,-2.9851
2007-03-29,2.3077
2007-03-30,9.0226
2007-04-02,-6.8966
2007-04-03,-12.592600000000001
2007-04-04,-2.5423999999999998
2007-04-05,6.9565
2007-04-09,5.6911000000000005
2007-04-10,-3.8462
2007-04-11,-6.4
2007-04-12,4.2735
2007-04-13,-1.6393
2007-04-16,4.1667
2007-04-17,-0.8
2007-04-18,-3.2157
2007-04-19,-1.6768999999999998
2007-04-20,0.0
2007-04-23,0.0
2007-04-24,-0.8475
2007-04-25,-0.8547
2007-04-26,-14.6552
2007-04-27,1.0101
2007-04-30,-7.0
2007-05-01,-6.4516
2007-05-02,32.1839
2007-05-03,-0.8696
2007-05-04,-10.526299999999999
