ticker,MGON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-01-14,-50.0
2003-01-15,0.0
2003-02-13,100.0
2003-02-14,-50.0
2003-02-20,20.0
2003-02-25,16.6667
2003-03-24,-7.1429
2003-04-09,-7.6923
2003-06-05,-50.0
2003-06-24,166.6667
2003-06-27,-12.5
2003-07-03,-28.5714
2003-07-07,40.0
2003-07-08,-14.2857
2003-07-09,33.3333
2003-07-10,12.5
2003-07-11,22.2222
2003-07-14,18.1818
2003-07-16,-15.3846
2003-07-18,-9.0909
2003-07-21,10.0
2003-07-30,154.5455
2003-08-08,-35.7143
2003-08-14,-27.7778
2003-08-18,-15.3846
2003-08-22,63.6364
2003-08-28,-50.0
2003-09-04,100.0
2003-09-05,-61.1111
2003-09-08,-14.2857
2003-09-22,200.0
2003-09-29,0.0
2003-10-02,11.1111
2003-10-03,0.0
2003-10-08,-25.0
2003-10-10,20.0
2003-10-13,-11.1111
2003-10-14,0.0
2003-10-15,6.25
2003-10-16,0.0
2003-10-17,-23.5294
2003-10-21,23.0769
2003-10-22,-37.5
2003-10-23,30.0
2003-10-28,-15.3846
2003-10-29,-9.0909
2003-10-31,10.0
2003-11-20,-27.2727
2003-12-03,37.5
2004-01-15,-9.0909
2004-01-16,10.0
2004-01-21,0.0
2004-01-23,-18.1818
2004-02-06,11.1111
2004-02-10,-10.0
2004-02-17,22.2222
2004-02-18,0.0
2004-02-19,-13.6364
2004-02-20,5.2632
2004-02-23,10.0
2004-02-24,9.0909
2004-02-25,-8.3333
2004-02-27,36.3636
2004-03-01,20.0
2004-03-02,22.2222
2004-03-08,54.5455
2004-03-09,-11.7647
2004-03-10,16.6667
2004-03-11,0.0
2004-03-17,5.7143
2004-03-18,35.1351
2004-03-19,-60.0
2004-03-22,50.0
2004-03-25,-30.0
2004-03-26,-28.5714
2004-03-30,53.3333
2004-04-15,-30.4348
2004-04-22,25.0
2004-04-23,15.0
2004-04-26,-13.0435
2004-04-27,20.0
2004-04-28,8.3333
2004-04-30,96.1538
2004-05-03,7.8431
2004-05-04,-1.8182
2004-05-05,29.6296
2004-05-06,21.4286
2004-05-07,-17.647100000000002
2004-05-10,-10.0
2004-05-11,-6.3492
2004-05-13,-6.7797
2004-05-14,-7.2727
2004-05-17,9.8039
2004-05-18,33.9286
2004-05-19,0.0
2004-05-20,0.0
2004-05-21,-6.6667
2004-05-24,0.0
2004-05-25,-14.2857
2004-05-26,20.0
2004-05-27,-16.6667
2004-05-28,-3.3333
2004-06-01,0.0
