ticker,TNLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.6549
2000-01-04,-1.7241
2000-01-05,-1.7544
2000-01-07,-1.7856999999999998
2000-01-10,1.8182
2000-01-11,0.0
2000-01-12,-3.5714
2000-01-13,-3.7037
2000-01-14,0.0
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,11.538499999999999
2000-01-24,8.6207
2000-01-25,-1.5873
2000-01-28,-3.2258
2000-01-31,1.6667
2000-02-01,-1.6393
2000-02-02,-1.6667
2000-02-03,0.0
2000-02-04,-3.3898
2000-02-08,-7.0175
2000-02-10,3.7736
2000-02-11,-3.6364
2000-02-14,-1.8868
2000-02-15,0.0
2000-02-16,3.8462
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-3.7037
2000-02-23,-3.8462
2000-02-25,0.0
2000-02-28,4.0
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,5.7692
2000-03-03,0.0
2000-03-06,-5.4545
2000-03-07,0.0
2000-03-09,0.0
2000-03-10,0.0
2000-03-13,-1.9231
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,1.9607999999999999
2000-03-21,-1.9231
2000-03-23,3.9215999999999998
2000-03-24,-1.8868
2000-03-27,-4.8077
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.5657
2000-03-31,9.0909
2000-04-04,-3.7037
2000-04-05,-3.8462
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,6.0
2000-04-11,0.0
2000-04-12,-1.8868
2000-04-13,-5.7692
2000-04-14,0.0
2000-04-17,-4.0816
2000-04-18,2.1277
2000-04-19,-2.0833
2000-04-20,-2.1277
2000-04-24,0.0
2000-04-25,-4.3478
2000-04-26,0.0
2000-04-27,13.6364
2000-04-28,4.0
2000-05-01,-3.8462
2000-05-02,-2.0
2000-05-04,-2.0408
2000-05-05,-2.0833
2000-05-08,-2.1277
2000-05-09,0.0
2000-05-10,-4.3478
2000-05-15,-2.2727
2000-05-16,4.6512
2000-05-18,4.4444
2000-05-22,-4.2553
2000-05-24,-2.2222
2000-05-26,0.0
2000-05-30,-2.2727
2000-05-31,0.0
2000-06-02,5.814
2000-06-05,-3.2967
2000-06-06,-2.2727
2000-06-07,2.3256
2000-06-08,-1.1364
2000-06-09,-3.4483
2000-06-13,-4.7619
2000-06-14,0.0
2000-06-15,-1.25
2000-06-16,-3.7975
2000-06-19,2.6316
2000-06-20,-5.1282
2000-06-21,3.4595000000000002
2000-06-22,-2.6316
