ticker,SVSE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-08-14,-85.1485
2003-10-27,1333.3333
2003-10-28,1.3953
2003-10-29,38.5321
2003-11-20,-3.9735
2003-11-21,3.4483
2003-11-24,-8.3333
2003-11-25,1.4545
2003-11-26,2.1505
2003-11-28,-1.7544
2003-12-01,3.5714
2003-12-02,-4.8276
2003-12-03,0.0
2003-12-04,1.4493
2003-12-05,5.3571
2003-12-08,1.6949
2003-12-09,7.6667
2003-12-10,0.6192
2003-12-11,1.5385
2003-12-12,-3.9394
2003-12-15,3.1546
2003-12-16,0.3058
2003-12-17,1.2195
2003-12-18,2.7108
2003-12-19,1.7595
2003-12-22,-1.4409
2003-12-23,-3.5088
2003-12-24,0.0
2003-12-26,-0.6061
2003-12-29,-4.878
2003-12-30,0.9615
2003-12-31,0.0
2004-01-02,3.1746
2004-01-05,4.6154
2004-01-06,-4.1176
2004-01-07,0.9202
2004-01-08,0.0
2004-01-09,0.304
2004-01-12,0.0
2004-01-13,-1.2121
2004-01-14,0.3067
2004-01-15,4.5872
2004-01-16,0.5848
2004-01-20,0.5814
2004-01-21,-1.7341
2004-01-22,-0.5882
2004-01-23,3.5503
2004-01-26,2.8571
2004-01-27,2.5
2004-01-28,4.878
2004-01-29,4.3928
2004-01-30,-4.9505
2004-02-02,-0.5208
2004-02-03,-0.5236
2004-02-04,0.0
2004-02-05,0.2632
2004-02-06,-0.7874
2004-02-09,0.0
2004-02-10,2.6455
2004-02-11,5.1546
2004-02-12,-0.4902
2004-02-13,-5.4187
2004-02-17,-5.4688
2004-02-18,-11.2948
2004-02-19,0.6211
2004-02-20,0.0
2004-02-23,3.7037
2004-02-24,-2.3810000000000002
2004-02-25,1.2195
2004-02-26,-4.8193
2004-02-27,-2.5316
2004-03-01,-22.7273
2004-03-02,8.4034
2004-03-03,6.2016
2004-03-04,-1.4599
2004-03-05,-8.8889
2004-03-08,2.439
2004-03-09,-6.3492
2004-03-10,7.6271
2004-03-11,-3.1496
2004-03-12,-4.878
2004-03-15,-1.2821
2004-03-16,-3.0303
2004-03-17,11.607099999999999
2004-03-18,0.0
2004-03-19,7.2
2004-03-22,9.7015
2004-03-23,4.7619
2004-03-24,3.8961
2004-03-25,3.75
2004-03-26,-6.6265
2004-03-29,0.9677
2004-03-30,-5.4313
2004-03-31,5.4054
2004-04-01,-0.641
2004-04-02,4.5161
2004-04-05,-0.9259
2004-04-06,-2.8037
2004-04-07,1.6026
2004-04-08,-1.5773000000000001
