ticker,KKPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-15,8.1081
2003-12-18,0.0
2003-12-22,0.0
2003-12-23,-7.5
2004-01-06,170.2703
2004-01-15,-61.0
2004-01-22,-2.5641
2004-01-27,0.0
2004-02-20,32.8947
2004-03-03,4.5545
2004-03-08,-14.7727
2004-03-10,0.0
2004-03-22,0.0
2004-03-26,0.0
2004-03-31,11.1111
2004-04-02,38.4
2004-04-08,-20.5202
2004-04-23,54.5455
2004-04-27,-5.8824
2004-04-28,26.25
2004-04-30,-24.7525
2004-05-06,0.0
2004-05-12,1.3158
2004-05-13,5.1948
2004-05-14,1.2346
2004-05-17,-1.2195
2004-05-18,4.9383
2004-05-19,0.0
2004-05-20,18.8235
2004-05-21,0.0
2004-05-25,3.9604
2004-05-27,3.8095
2004-05-28,0.0
2004-06-01,-7.3394
2004-06-02,-1.9802
2004-06-03,4.0404
2004-06-04,0.0
2004-06-07,0.0
2004-06-10,-1.9417
2004-06-14,0.9901
2004-06-15,0.0
2004-06-16,-11.7647
2004-06-17,11.1111
2004-06-22,-8.0
2004-06-23,10.3261
2004-06-29,-11.33
2004-06-30,27.7778
2004-07-07,-21.7391
2004-07-12,0.0
2004-07-14,-4.4444
2004-07-27,-6.9767
2004-08-09,1.25
2004-08-11,0.0
2004-08-16,0.0
2004-08-25,13.5802
2004-09-01,7.6087
2004-09-10,2.0202
2004-09-13,3.9604
2004-09-16,-4.4762
2004-09-23,17.647100000000002
2004-09-24,5.9322
2004-09-27,4.0
2004-09-28,15.3846
2004-09-29,16.6667
2004-09-30,0.0
2004-10-01,0.5714
2004-10-04,-11.931799999999999
2004-10-06,1.9355
2004-10-07,7.5949
2004-10-12,17.647100000000002
2004-10-13,-10.0
2004-10-14,-2.7778
2004-10-27,15.4286
2004-11-01,-5.9406
2004-11-05,13.6842
2004-11-08,-9.2593
2004-11-09,12.2449
2004-11-11,-10.9091
2004-11-24,0.0
2004-11-26,0.0
2004-11-29,2.0408
2004-11-30,-25.0
2004-12-03,0.0
2004-12-10,0.0
2004-12-20,46.6667
2004-12-22,0.0
2005-01-06,-27.2727
2005-01-07,0.0
2005-01-12,0.0
2005-01-26,1.25
2005-01-31,35.8025
2005-02-01,-27.2727
2005-02-07,-6.25
2005-02-08,0.0
2005-02-09,-6.0
2005-02-11,0.0
2005-02-15,-0.7092
2005-02-16,7.1429
2005-02-24,46.6667
2005-02-25,0.0
2005-02-28,-36.1818
2005-03-09,-0.2849
2005-03-23,0.0
