ticker,SELR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-27,-35.0
2010-06-02,53.8462
2010-06-03,850.0
2010-06-07,7.8947
2010-06-09,146.3415
2010-06-10,0.9901
2010-06-11,0.0
2010-06-21,98.0392
2010-06-22,18.8119
2010-06-28,26.6667
2010-06-30,64.4737
2010-07-06,0.0
2010-07-08,0.0
2010-07-09,-16.0
2010-07-12,104.7619
2010-07-13,-41.8605
2010-07-14,0.0
2010-07-16,-4.0
2010-07-19,58.3333
2010-07-20,-21.0526
2010-07-21,16.6667
2010-07-22,-8.5714
2010-07-26,25.0
2010-07-27,0.0
2010-07-28,-10.0
2010-07-29,11.1111
2010-07-30,10.0
2010-08-02,-13.6364
2010-08-03,10.526299999999999
2010-08-05,-4.7619
2010-08-06,0.0
2010-08-10,-12.5
2010-08-11,-14.2857
2010-08-12,0.0
2010-08-13,10.0
2010-08-16,-3.0303
2010-08-17,-9.375
2010-08-18,3.4483
2010-08-19,26.6667
2010-08-20,0.0
2010-08-23,-5.2632
2010-08-24,-16.6667
2010-08-25,-3.3333
2010-08-26,-17.2414
2010-08-27,0.0
2010-08-30,0.0
2010-08-31,-29.1667
2010-09-01,29.4118
2010-09-02,9.0909
2010-09-03,0.0
2010-09-08,-8.3333
2010-09-09,18.1818
2010-09-10,-23.0769
2010-09-13,15.0
2010-09-14,-21.6848
2010-09-17,33.2408
2010-09-21,-4.1667
2010-09-22,-17.3913
2010-09-23,5.2632
2010-09-24,0.0
2010-09-27,0.0
2010-09-29,0.0
2010-09-30,-20.0
2010-10-05,-12.5
2010-10-06,7.1429
2010-10-07,20.0
2010-10-08,-11.1111
2010-10-11,18.5156
2010-10-12,2.8345000000000002
2010-10-13,0.0641
2010-10-14,-10.3139
2010-10-15,-34.2857
2010-10-18,-19.5652
2010-10-19,-2.7027
2010-10-20,-27.7778
2010-10-21,-30.7692
2010-10-22,-11.1111
2010-10-25,22.5
2010-10-26,4.0816
2010-10-27,13.7255
2010-10-28,-13.7931
2010-10-29,0.0
2010-11-01,-10.0
2010-11-02,-20.0
2010-11-03,11.1111
2010-11-04,-12.5
2010-11-05,-14.2857
2010-11-08,33.3333
2010-11-09,25.0
2010-11-10,-2.0
2010-11-11,12.2449
2010-11-12,-5.4545
2010-11-15,-20.5529
2010-11-16,-3.177
2010-11-17,-2.5
2010-11-18,-15.3846
2010-11-19,18.1818
2010-11-22,-2.5641
2010-11-23,7.5658
2010-11-24,-2.1407
2010-11-26,0.0
2010-11-29,-14.2187
