ticker,INVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-14,200.0
2008-11-19,-16.6667
2008-11-21,300.0
2008-11-24,-82.5
2008-11-25,900.0
2008-11-26,-14.2857
2008-11-28,-8.3333
2008-12-01,-81.8182
2008-12-02,-1.0
2008-12-05,51.5152
2008-12-08,16.6667
2008-12-12,-13.7143
2008-12-15,9.2715
2008-12-19,3.6364
2008-12-29,46.1988
2008-12-31,120.0
2009-01-07,-9.0909
2009-01-12,-60.0
2009-01-13,-20.0
2009-01-14,9.375
2009-01-15,-17.7143
2009-01-16,4.1667
2009-01-30,66.6667
2009-02-02,-59.6
2009-02-09,-10.8911
2009-02-17,66.6667
2009-02-20,-50.0
2009-02-23,-6.6667
2009-02-25,5.7143
2009-02-27,143.2432
2009-03-03,-66.6667
2009-03-04,150.0
2009-03-06,-70.0
2009-03-10,0.0
2009-03-11,-11.1111
2009-03-12,0.0
2009-03-13,62.5
2009-03-17,0.0
2009-03-19,-1.5385
2009-03-20,-21.875
2009-03-23,0.0
2009-03-24,-10.0
2009-03-25,11.1111
2009-03-26,1.0
2009-03-27,0.9901
2009-03-31,37.2549
2009-04-02,-27.1429
2009-04-06,-21.5686
2009-04-07,0.0
2009-04-08,60.0
2009-04-15,-37.5
2009-04-16,0.0
2009-04-17,10.0
2009-04-20,4.5455
2009-04-21,-10.8696
2009-04-22,-21.9512
2009-04-23,6.25
2009-04-24,14.7059
2009-04-27,-10.2564
2009-04-28,-14.2857
2009-04-29,0.0
2009-04-30,-3.3333
2009-05-01,-31.0345
2009-05-04,25.0
2009-05-06,3.6
2009-05-07,-22.7799
2009-05-08,-25.0
2009-05-11,-20.0
2009-05-12,65.8333
2009-05-13,0.0
2009-05-14,-39.6985
2009-05-15,20.8333
2009-05-18,3.4483
2009-05-21,-1.3333
2009-05-26,0.6757
2009-05-27,0.0
2009-05-28,-19.4631
2009-05-29,33.3333
2009-06-01,-9.375
2009-06-02,-17.2414
2009-06-03,0.0
2009-06-04,50.0
2009-06-05,0.0
2009-06-08,-11.1111
2009-06-10,0.0
2009-06-11,-9.375
2009-06-12,-6.8966
2009-06-15,3.7037
2009-06-16,10.0
2009-06-17,-22.0779
2009-06-18,0.0
2009-06-19,8.3333
2009-06-22,-7.5481
2009-06-23,-8.4763
2009-06-24,4.5455
2009-06-25,21.7391
2009-06-26,0.0
2009-06-29,-28.5714
2009-06-30,10.0
2009-07-01,0.0
2009-07-02,-9.0909
2009-07-07,0.0
2009-07-08,-10.0
