ticker,FABP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.0
2000-01-10,1.0638
2000-01-18,1.0526
2000-01-24,0.6923
2000-01-25,0.0
2000-01-28,0.0
2000-02-02,-2.0833
2000-02-03,1.7234
2000-02-09,0.3974
2000-02-10,4.1667
2000-02-14,0.0
2000-02-15,0.0
2000-02-18,-6.0
2000-02-23,6.383
2000-03-22,-7.75
2000-03-23,4.607
2000-04-04,-2.5907
2000-04-26,-10.0064
2000-05-04,0.0
2000-05-16,1.1905000000000001
2000-05-17,-17.647100000000002
2000-05-25,20.0
2000-06-02,-16.6667
2000-06-13,20.0
2000-08-04,0.0
2000-08-11,-16.6667
2000-08-17,11.4286
2000-08-28,0.9056
2000-09-06,1.2821
2000-09-18,3.7975
2000-10-02,-4.878
2000-11-01,0.9056
2000-12-04,5.1282
2001-01-02,-14.0244
2001-01-03,10.6383
2001-02-05,-8.7497
2001-02-20,7.8014
2001-03-01,-7.2368
2001-03-08,7.8014
2001-03-27,0.0
2001-04-24,-6.3247
2001-05-08,7.8014
2001-06-07,0.0
2001-06-15,7.8947
2001-06-21,-2.439
2001-10-10,-9.1139
2001-10-29,12.328
2001-12-04,0.0
2001-12-28,-0.625
2002-01-16,-1.2579
2002-02-01,-5.4054
2002-02-07,-1.3605
2002-02-14,4.8276
2002-04-08,4.6053
2002-05-28,1.0422
2002-06-06,0.6289
2002-06-24,-7.5
2002-07-24,12.0831
2002-07-29,0.0
2002-07-30,2.439
2002-07-31,-4.7619
2002-08-02,2.5
2002-08-05,0.0
2002-08-08,0.6098
2002-08-23,1.8182
2002-08-26,1.1905000000000001
2002-09-05,1.2941
2002-09-17,0.7666
2002-09-25,-0.0231
2002-09-26,-2.006
2002-10-10,-0.5882
2002-10-14,4.142
2002-10-15,0.0
2002-10-16,0.0
2002-10-30,-2.6618
2002-11-25,0.7779
2002-11-26,0.0
2002-12-03,2.924
2003-01-02,1.1364
2003-02-21,0.9757
2003-03-05,-2.2472
2003-03-06,0.0
2003-03-07,0.0
2003-03-12,0.1149
2003-03-13,0.0
2003-03-17,0.6889
2003-03-20,0.3421
2003-03-27,0.0
2003-03-31,0.0
2003-04-01,0.0
2003-04-04,0.0
2003-04-08,0.0
2003-04-09,1.1364
2003-04-16,0.0
2003-04-21,0.0
2003-04-23,0.0
2003-04-25,0.9757
2003-04-28,-1.1236
2003-05-01,2.2727
2003-05-07,-1.8889
2003-05-20,3.0578
2003-05-28,-2.1978
2003-06-02,0.0
