ticker,TEXG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-03,-3.2258
2005-06-06,2.2222
2005-06-07,30.4348
2005-06-08,8.3333
2005-06-09,7.6923
2005-06-10,7.1429
2005-06-13,-16.6667
2005-06-14,16.0
2005-06-15,-8.2759
2005-06-16,1.5038
2005-06-17,0.0
2005-06-20,-2.2222
2005-06-21,-0.7576
2005-06-22,-0.7634
2005-06-23,1.5385
2005-06-27,-9.0909
2005-06-28,13.3333
2005-06-30,-3.3088
2005-07-01,-0.3802
2005-07-06,1.145
2005-07-07,-1.8868
2005-07-11,2.3077
2005-07-12,0.7519
2005-07-13,0.7463
2005-07-14,2.963
2005-07-15,0.0
2005-07-18,1.4388
2005-07-19,-0.7092
2005-07-20,1.4285999999999999
2005-07-21,0.7042
2005-07-25,1.7483
2005-07-26,3.0928
2005-07-27,-0.3333
2005-07-28,3.3445
2005-07-29,0.3236
2005-08-01,-5.1613
2005-08-02,14.966
2005-08-03,0.5917
2005-08-04,2.9412000000000003
2005-08-05,-3.4286
2005-08-08,2.3669000000000002
2005-08-09,2.8902
2005-08-10,2.2472
2005-08-11,5.4945
2005-08-12,-1.5625
2005-08-15,-1.0582
2005-08-16,-2.1390000000000002
2005-08-17,-3.2787
2005-08-18,-1.9774
2005-08-19,-2.0173
2005-08-22,2.3529
2005-08-23,-4.023
2005-08-24,-0.5988
2005-08-26,0.0
2005-08-29,-0.6024
2005-08-31,5.4545
2005-09-01,5.1724
2005-09-02,13.1148
2005-09-06,-1.9324
2005-09-07,2.4631
2005-09-08,0.9615
2005-09-09,0.9524
2005-09-12,2.8302
2005-09-13,1.3761
2005-09-14,0.0
2005-09-15,1.81
2005-09-16,0.0
2005-09-19,22.6667
2005-09-20,0.7246
2005-09-21,0.7194
2005-09-22,-4.6429
2005-09-23,-1.4981
2005-09-26,0.7605
2005-09-27,4.5283
2005-09-28,1.083
2005-09-29,0.3571
2005-09-30,3.2028
2005-10-03,4.1379
2005-10-04,-0.6623
2005-10-05,3.3333
2005-10-06,-4.5161
2005-10-07,1.0135
2005-10-10,1.3378
2005-10-11,0.0
2005-10-12,-0.33
2005-10-13,0.9934
2005-10-14,-0.6557
2005-10-17,-0.33
2005-10-18,0.3311
2005-10-19,1.6502
2005-10-20,0.6494
2005-10-21,-0.6452
2005-10-24,-2.2727
2005-10-25,0.9967
2005-10-26,0.6579
2005-10-27,0.3268
2005-10-28,-0.6515
2005-10-31,-1.6393
2005-11-01,1.1667
2005-11-02,-0.5931
