ticker,WSGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-11,0.0
2007-05-21,-60.7843
2007-07-30,75.0
2007-08-08,57.1429
2007-08-09,-45.4545
2008-02-08,633.8934
2008-02-11,14.5038
2008-02-12,33.3333
2008-02-13,25.0
2008-02-14,20.0
2008-02-15,16.6667
2008-02-19,-14.2857
2008-02-20,0.0
2008-02-21,25.0
2008-02-22,-13.3333
2008-02-26,-7.6923
2008-02-27,-10.0
2008-02-28,18.5185
2008-02-29,-14.375
2008-03-03,-19.708
2008-03-04,0.0
2008-03-05,-4.5455
2008-03-06,0.0
2008-03-10,-19.0476
2008-03-11,-11.7647
2008-03-13,-3.3333
2008-03-14,27.5862
2008-03-19,-16.2162
2008-03-20,12.9032
2008-03-25,-8.5714
2008-04-03,-9.375
2008-04-14,-0.6897
2008-04-15,-24.3056
2008-04-16,-7.3394
2008-04-17,51.4851
2008-04-21,-15.0327
2008-04-23,26.9231
2008-04-30,15.1515
2008-05-01,44.7368
2008-05-02,7.2727
2008-05-05,0.0
2008-05-06,-5.0847
2008-05-07,-14.2857
2008-05-08,-2.0833
2008-05-09,0.0
2008-05-12,-4.2553
2008-05-13,0.0
2008-05-14,-8.8889
2008-05-15,0.0
2008-05-16,-7.3171
2008-05-19,-2.6316
2008-05-20,8.1081
2008-05-21,-5.0
2008-05-22,-5.2632
2008-05-23,11.1111
2008-05-27,-7.5
2008-05-28,-2.7027
2008-05-30,-16.6667
2008-06-03,28.0
2008-06-04,-6.25
2008-06-05,8.3333
2008-06-06,-12.8205
2008-06-09,-11.1765
2008-06-10,-1.3245
2008-06-11,4.0268
2008-06-12,-6.4516
2008-06-13,-3.4483
2008-06-17,0.0
2008-06-19,-17.8571
2008-06-20,12.1739
2008-06-23,0.0
2008-06-24,-3.1008
2008-06-27,-8.0
2008-06-30,-4.3478
2008-07-01,-9.0909
2008-07-02,1.0
2008-07-07,-10.8911
2008-07-09,-16.6667
2008-07-10,-6.6667
2008-07-14,0.0
2008-07-15,7.1429
2008-07-16,13.3333
2008-07-17,-11.7647
2008-07-18,6.6667
2008-07-21,-6.25
2008-07-23,0.0
2008-07-24,17.3333
2008-07-25,-4.5455
2008-07-28,-10.7143
2008-07-29,-6.6667
2008-07-30,0.0
2008-08-01,14.2857
2008-08-04,-12.5
2008-08-05,0.0
2008-08-06,0.0
2008-08-07,7.1429
2008-08-08,-6.6667
2008-08-11,7.1429
2008-08-12,-1.3333
2008-08-13,-1.3514
2008-08-14,-19.1781
