ticker,KALG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-14,114.2857
2005-01-18,-26.6667
2005-01-25,81.8182
2005-02-16,100.0
2005-08-24,75.0
2005-09-09,0.7143
2005-10-31,-7.8014
2005-11-09,16.1538
2005-11-10,760.9272
2005-11-21,-69.2308
2005-12-21,0.0
2006-01-17,-7.5
2006-01-18,8.1081
2006-01-19,0.0
2006-01-20,-2.5
2006-01-30,-2.5641
2006-02-03,5.2632
2006-02-13,-12.5
2006-02-28,-36.0
2006-03-01,33.9286
2006-03-03,0.0
2006-03-10,-32.6667
2006-03-17,-25.7426
2006-04-17,32.0
2006-04-18,0.0
2006-04-24,-24.2424
2006-05-15,4.0
2006-05-26,14.1026
2006-05-30,12.3596
2006-06-08,90.0
2006-06-21,-21.0526
2006-07-20,0.0
2006-08-21,0.0
2006-08-23,0.0
2006-09-18,0.0
2006-10-24,0.6667
2006-11-01,-3.9735
2006-11-03,3.4483
2006-11-07,-0.3333
2006-11-09,18.3946
2006-11-10,12.9944
2006-11-13,-0.5
2006-11-15,-2.0101
2006-11-16,2.0513
2006-11-17,0.5025
2006-11-20,-4.0
2006-11-21,-0.5208
2006-11-24,4.712
2006-11-29,0.0
2006-12-15,0.0
2006-12-29,-20.0
2007-01-03,25.0
2007-01-04,0.0
2007-01-05,0.0
2007-01-08,0.0
2007-01-09,0.0
2007-01-10,0.0
2007-01-11,18.0
2007-01-12,3.3898
2007-01-16,-1.6393
2007-01-17,1.6667
2007-01-18,0.0
2007-01-19,0.0
2007-01-22,1.6393
2007-01-23,0.0
2007-01-24,0.0
2007-01-25,-1.6129
2007-01-26,1.6393
2007-01-29,0.0
2007-01-30,12.9032
2007-01-31,-2.8571
2007-02-01,0.0
2007-02-02,10.2941
2007-02-05,5.3333
2007-02-06,1.2658
2007-02-07,8.75
2007-02-08,5.7471
2007-02-09,-1.6303999999999998
2007-02-12,2.2099
2007-02-13,-4.8649000000000004
2007-02-14,1.1364
2007-02-15,10.1124
2007-02-16,4.0816
2007-02-20,5.8824
2007-02-21,6.4815
2007-02-22,6.087
2007-02-23,0.0
2007-02-26,3.2787
2007-02-27,0.7937
2007-02-28,2.3622
2007-03-01,-1.5385
2007-03-02,0.7813
2007-03-05,-7.7519
2007-03-06,-19.3277
2007-03-07,4.1667
2007-03-08,7.0
2007-03-09,-6.5421
2007-03-12,5.0
2007-03-13,-4.7619
2007-03-14,0.0
2007-03-15,-1.0
2007-03-16,4.0404
2007-03-19,-0.9709
