ticker,BCLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,0.0
2000-02-16,-79.661
2000-02-23,-30.0
2000-05-18,-4.7619
2000-06-21,0.0
2000-08-18,0.0
2000-08-29,50.0
2000-09-07,0.0
2000-09-12,4.1667
2000-09-20,-36.0
2000-09-27,0.0
2000-10-03,0.0
2000-10-25,0.0
2000-11-10,-45.0
2000-11-15,81.8182
2000-11-16,100.0
2000-11-20,15.0
2000-11-24,8.6957
2000-11-28,0.0
2000-11-29,-10.0
2000-11-30,11.1111
2000-12-01,-40.0
2000-12-04,0.0
2000-12-07,0.0
2000-12-11,-33.3333
2000-12-20,50.0
2000-12-26,4.1667
2000-12-27,-4.0
2000-12-29,-50.0
2001-01-05,166.6667
2001-01-08,-37.5
2001-01-09,60.0
2001-01-11,4.1667
2001-01-12,44.0
2001-01-17,-30.5556
2001-01-18,-20.0
2001-01-19,-25.0
2001-01-22,16.6667
2001-01-23,-14.2857
2001-01-24,-8.3333
2001-01-31,30.9091
2001-02-02,-23.6111
2001-02-05,63.6364
2001-02-06,-22.2222
2001-02-07,14.2857
2001-02-08,-25.0
2001-02-09,-25.0
2001-02-14,11.1111
2001-02-15,20.0
2001-02-21,16.6667
2001-02-22,21.4286
2001-02-23,11.0588
2001-02-26,5.9322
2001-02-27,0.0
2001-02-28,34.4
2001-03-01,-18.1548
2001-03-02,-9.0909
2001-03-05,-20.0
2001-03-06,50.0
2001-03-07,-13.3333
2001-03-08,15.3846
2001-03-09,8.3333
2001-03-13,-7.6923
2001-03-14,-12.5
2001-03-15,14.2857
2001-03-16,25.0
2001-03-19,-13.3333
2001-03-20,-7.6923
2001-03-22,12.5
2001-03-23,11.1111
2001-03-28,0.0
2001-03-29,20.0
2001-03-30,-22.2222
2001-04-02,-14.2857
2001-04-03,-16.6667
2001-04-04,20.0
2001-04-05,-12.5
2001-04-06,17.3333
2001-04-10,13.6364
2001-04-16,-28.5714
2001-04-17,45.6
2001-04-18,13.1868
2001-04-20,0.0
2001-04-23,21.3592
2001-04-24,-9.6
2001-04-25,6.1947
2001-04-26,4.1667
2001-04-27,8.0
2001-04-30,11.1111
2001-05-01,-3.3333
2001-05-02,41.3793
2001-05-03,-2.439
2001-05-04,-12.5
2001-05-08,0.0
2001-05-18,0.0
2001-05-21,-31.4286
2001-05-22,19.1667
2001-05-23,1.3986
2001-05-30,-10.3448
2001-05-31,-3.8462
2001-06-01,-3.2
2001-06-04,-9.0909
2001-06-05,18.1818
