ticker,POWW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-9.7561
2000-01-04,8.1081
2000-01-05,-7.5
2000-01-06,2.7027
2000-01-07,-2.6316
2000-01-10,24.3243
2000-01-11,-10.8696
2000-01-12,0.0
2000-01-13,-2.439
2000-01-14,5.0
2000-01-18,-2.3810000000000002
2000-01-19,2.439
2000-01-20,4.7619
2000-01-21,0.0
2000-01-24,-2.2727
2000-01-25,2.3256
2000-01-26,-9.0909
2000-01-27,30.0
2000-01-28,7.6923
2000-01-31,14.2857
2000-02-01,0.0
2000-02-02,-6.25
2000-02-03,3.3333
2000-02-04,-9.6774
2000-02-07,10.7143
2000-02-08,-1.6129
2000-02-09,-8.1967
2000-02-10,10.7143
2000-02-11,-9.6774
2000-02-14,14.2857
2000-02-15,-12.5
2000-02-16,-1.7856999999999998
2000-02-17,9.0909
2000-02-18,-6.6667
2000-02-22,3.5714
2000-02-23,10.3448
2000-02-24,-6.25
2000-02-25,0.0
2000-02-28,-5.0
2000-02-29,3.5088
2000-03-01,-8.4746
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,-9.2593
2000-03-07,2.0408
2000-03-08,4.0
2000-03-09,-3.8462
2000-03-10,-4.0
2000-03-13,29.1667
2000-03-14,6.4516
2000-03-15,-13.6364
2000-03-16,10.526299999999999
2000-03-17,-7.9365
2000-03-20,-5.1724
2000-03-21,-1.8182
2000-03-22,0.0
2000-03-23,-1.8519
2000-03-24,-1.8868
2000-03-27,-7.6923
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,4.1667
2000-03-31,0.0
2000-04-03,-12.0
2000-04-04,-9.0909
2000-04-05,-7.5
2000-04-07,8.1081
2000-04-10,-2.5
2000-04-11,-2.5641
2000-04-12,-13.1579
2000-04-13,-21.2121
2000-04-14,0.0
2000-04-17,5.7692
2000-04-18,-16.3636
2000-04-19,0.0
2000-04-20,4.3478
2000-04-24,-8.3333
2000-04-25,13.6364
2000-04-26,0.0
2000-04-27,-4.0
2000-04-28,4.1667
2000-05-01,-4.0
2000-05-02,0.0
2000-05-03,-4.1667
2000-05-04,-30.4348
2000-05-05,37.5
2000-05-08,13.6364
2000-05-09,-8.0
2000-05-10,4.3478
2000-05-11,-4.1667
2000-05-12,13.0435
2000-05-15,23.0769
2000-05-16,23.4375
2000-05-17,21.519
2000-05-18,-25.0
2000-05-19,22.2222
2000-05-22,-9.0909
2000-05-23,0.0
2000-05-24,0.0
2000-05-25,5.0
2000-05-26,0.0
