ticker,ALLQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-01-15,4900.0
2004-01-16,0.0
2004-01-21,10.0
2004-01-22,-4.5455
2004-01-23,4.7619
2004-01-26,4.5455
2004-01-27,0.0
2004-01-28,8.6957
2004-01-30,-12.2
2004-02-10,4.7836
2004-03-30,-8.6957
2004-03-31,0.0
2004-05-04,10.0
2004-05-24,-22.0779
2004-05-25,24.4444
2004-09-15,-6.25
2004-10-13,-33.3333
2004-10-18,0.0
2004-12-17,-92.8571
2004-12-31,500.0
2005-01-25,-50.0
2005-02-14,-80.0
2005-08-15,200.0
2005-10-24,-88.8889
2005-10-31,700.0
2006-01-24,-98.75
2006-01-25,0.0
2006-03-14,900.0
2006-03-30,-50.0
2006-04-11,500.0
2006-04-12,0.0
2006-04-13,0.0
2006-04-19,33.3333
2006-04-20,0.0
2006-04-24,-50.0
2006-04-28,50.0
2006-05-08,-8.3333
2006-05-17,27.2727
2006-06-01,0.0
2006-06-02,14.2857
2006-06-06,75.0
2006-06-07,0.0
2006-06-08,142.8571
2006-06-09,-41.1765
2006-06-12,40.0
2006-06-13,-14.2857
2006-06-14,33.3333
2006-06-15,-6.25
2006-06-16,66.6667
2006-06-19,16.0
2006-06-20,-13.7931
2006-06-21,0.0
2006-06-23,20.0
2006-06-26,33.3333
2006-06-27,-47.5
2006-06-28,76.1905
2006-06-29,-18.9189
2006-06-30,-3.3333
2006-07-03,0.0
2006-07-05,3.4483
2006-07-06,-16.6667
2006-07-10,8.0
2006-07-11,3.7037
2006-07-12,7.1429
2006-07-13,3.3333
2006-07-14,-3.2258
2006-07-17,76.6667
2006-07-18,-37.7358
2006-07-19,12.1212
2006-07-20,32.4324
2006-07-21,-24.4898
2006-07-24,-2.7027
2006-07-25,38.8889
2006-07-26,14.0
2006-07-27,-12.2807
2006-07-28,20.0
2006-07-31,-33.3333
2006-08-01,22.5
2006-08-02,4.0816
2006-08-03,1.9607999999999999
2006-08-04,-13.461500000000001
2006-08-07,0.0
2006-08-08,6.6667
2006-08-09,25.0
2006-08-10,-8.3333
2006-08-11,0.0
2006-08-14,-16.3636
2006-08-15,-78.2609
2006-08-16,210.0
2006-08-17,-22.5806
2006-08-18,33.3333
2006-08-21,9.375
2006-08-23,0.0
2006-08-24,51.4286
2006-08-25,-5.6604
2006-08-28,-1.0
2006-08-29,1.0101
2006-08-31,-29.2
2006-09-01,12.9944
2006-09-05,-25.0
2006-09-06,6.6667
2006-09-07,0.0
2006-09-08,-6.25
