ticker,PGGG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-07,-99.56
2004-09-09,-54.5455
2004-09-23,20.0
2004-10-15,-97.2222
2004-10-19,2100.0
2004-10-21,131.8182
2004-10-26,33.3333
2004-10-28,10.2941
2004-11-02,13.3333
2004-11-29,5.8824
2004-11-30,38.8889
2004-12-20,28.0
2004-12-27,0.0
2005-01-25,-6.25
2005-01-31,-6.6667
2005-02-01,0.0
2005-02-02,-7.1429
2005-02-03,23.0769
2005-02-04,0.0
2005-02-09,-15.625
2005-02-24,-18.5185
2005-02-25,40.9091
2005-03-24,-35.4839
2005-04-01,5.0
2005-04-20,-23.8095
2005-04-22,33.75
2005-05-04,44.8598
2005-05-05,9.6774
2005-05-19,-40.5882
2005-06-28,1.9802
2005-07-06,6.7961
2005-07-07,6.3636
2005-07-08,4.7009
2005-07-11,7.7551
2005-07-12,15.1515
2005-07-13,-1.8420999999999998
2005-07-14,-16.2198
2005-07-15,-11.2
2005-07-18,-0.9009
2005-07-19,9.0909
2005-07-20,0.0
2005-07-21,-14.1667
2005-07-22,5.8252
2005-07-25,5.5046
2005-07-26,-9.5652
2005-07-27,-3.8462
2005-07-28,4.0
2005-07-29,-5.7692
2005-08-01,4.0816
2005-08-02,0.0
2005-08-03,-7.8431
2005-08-04,1.0638
2005-08-05,-5.2632
2005-08-08,-15.5556
2005-08-09,-1.3158
2005-08-10,4.0
2005-08-11,-1.2821
2005-08-12,1.2987
2005-08-15,-3.8462
2005-08-16,1.3333
2005-08-17,-10.526299999999999
2005-08-18,10.2941
2005-08-19,-1.3333
2005-08-22,-18.9189
2005-08-23,16.6667
2005-08-24,2.8571
2005-08-26,-4.1667
2005-08-29,-8.6957
2005-08-30,1.5873
2005-08-31,3.125
2005-09-01,0.0
2005-09-02,3.0303
2005-09-06,10.2941
2005-09-08,0.0
2005-09-09,14.6667
2005-09-12,0.0
2005-09-13,3.4884
2005-09-14,1.1236
2005-09-15,-2.2222
2005-09-16,3.4091
2005-09-19,-4.3956
2005-09-20,5.7471
2005-09-21,5.4348
2005-09-22,-1.0309
2005-09-23,2.6042
2005-09-26,-0.2538
2005-09-27,6.8702
2005-09-28,8.5714
2005-09-29,5.2632
2005-09-30,0.0
2005-10-03,0.0
2005-10-04,1.6667
2005-10-05,0.8197
2005-10-06,3.6585
2005-10-07,5.4902
2005-10-10,7.8067
2005-10-11,-34.4828
2005-10-12,2.1053
2005-10-13,-6.1856
2005-10-14,-1.0989
2005-10-17,0.0
