ticker,SEMUF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,0.0
2000-01-07,0.0
2000-01-10,0.0
2000-01-12,8.1967
2000-01-13,7.5758
2000-01-14,-4.2254
2000-01-25,0.0
2000-01-27,11.7647
2000-02-01,-5.2632
2000-02-02,0.0
2000-02-03,0.0
2000-02-08,22.2222
2000-02-09,-18.1818
2000-02-11,11.1111
2000-02-15,-6.25
2000-02-16,8.0
2000-02-17,-1.2346
2000-02-18,-6.25
2000-02-22,-4.0
2000-02-23,0.0
2000-02-25,-4.8611
2000-02-28,0.0117
2000-02-29,2.1778
2000-03-01,-0.7143
2000-03-02,0.0
2000-03-03,2.1583
2000-03-07,-0.7042
2000-03-09,-3.5461
2000-03-10,2.2059
2000-03-15,15.1079
2000-03-20,-15.0
2000-03-27,0.0
2000-03-28,0.0
2000-04-03,0.0
2000-05-04,-11.7647
2000-05-12,0.0
2000-05-16,0.0
2000-05-23,0.0
2000-06-02,0.0
2000-06-08,0.0
2000-06-15,4.1667
2000-06-27,-4.0
2000-07-14,0.0
2000-07-17,0.0
2000-07-18,0.0
2000-07-21,0.0
2000-07-24,0.0
2000-07-25,0.0
2000-08-10,0.0
2000-08-11,13.3333
2000-08-15,-11.7647
2000-08-16,0.0
2000-08-17,-6.6667
2000-08-22,7.1429
2000-08-30,0.0
2000-08-31,0.0
2000-09-06,26.6667
2000-09-12,-19.7368
2000-09-13,0.0
2000-09-15,4.918
2000-09-19,-4.6875
2000-09-29,1.6393
2000-10-05,0.0
2000-10-16,0.0
2000-10-25,0.0
2000-11-01,0.0
2000-11-02,0.0
2000-11-07,0.0
2000-11-08,0.0
2000-11-09,0.0
2000-11-13,9.6774
2000-11-22,0.0
2000-11-23,0.0
2000-11-24,0.0
2000-11-28,-8.8235
2000-11-30,0.0
2000-12-04,9.6774
2000-12-14,-8.8235
2000-12-19,0.0
2000-12-20,0.0
2000-12-21,4.0323
2000-12-22,5.4264
2000-12-25,0.0
2000-12-26,-10.2941
2000-12-27,0.0
2000-12-28,3.2787
2000-12-29,1.5873
2001-01-01,0.0
2001-01-02,21.875
2001-01-03,0.0
2001-01-04,0.0
2001-01-05,0.0
2001-01-10,0.0
2001-01-11,2.5641
2001-01-12,-10.0
2001-01-18,5.5556
2001-01-19,-10.526299999999999
2001-01-30,11.7647
2001-02-15,-23.6842
2001-02-16,0.0
2001-02-22,6.8966
2001-02-23,3.2258
2001-02-26,0.0
2001-03-27,0.0
