ticker,CDFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-29,0.0
2011-06-30,-16.6667
2011-07-22,20.0
2011-07-27,0.0
2011-08-04,-16.6667
2011-08-09,100.0
2011-08-12,0.0
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,-5.5
2011-08-19,-20.7011
2011-08-22,0.0
2011-08-26,-6.6722
2011-08-29,-3.4853
2011-09-01,7.4074
2011-09-08,0.0
2011-09-15,0.0
2011-10-03,-51.7241
2011-10-05,0.0
2011-10-06,-28.5714
2011-10-07,0.0
2011-10-12,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-27,0.0
2011-10-31,40.0
2011-11-01,14.2857
2011-11-02,25.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-07,-44.0
2011-11-08,-28.5714
2011-11-16,-50.0
2011-11-17,0.0
2011-11-21,100.0
2011-11-22,25.0
2011-11-23,60.0
2011-11-25,-12.5
2011-11-28,14.2857
2011-11-29,22.5
2011-11-30,12.2449
2011-12-01,9.0909
2011-12-02,-25.0
2011-12-05,22.2222
2011-12-06,36.3636
2011-12-07,-6.6667
2011-12-08,21.4286
2011-12-09,0.0
2011-12-12,-23.5294
2011-12-13,38.4615
2011-12-14,-11.1111
2011-12-15,18.75
2011-12-16,-5.2632
2011-12-19,0.0
2011-12-20,0.0
2011-12-21,-5.5556
2011-12-22,-5.8824
2011-12-23,12.5
2011-12-27,-16.6667
2011-12-28,26.6667
2011-12-29,-25.7895
2011-12-30,27.6596
2012-01-03,-33.3333
2012-01-04,41.6667
2012-01-05,-11.1765
2012-01-06,78.8079
2012-01-09,-11.1111
2012-01-10,-16.6667
2012-01-11,0.0
2012-01-12,20.0
2012-01-13,-8.3333
2012-01-17,0.0
2012-01-18,-45.4545
2012-01-19,50.0
2012-01-20,11.0417
2012-01-23,-10.0063
2012-01-24,0.0695
2012-01-25,-25.0
2012-01-26,33.3333
2012-01-27,0.0
2012-01-30,-13.8889
2012-01-31,-9.6774
2012-02-01,14.2857
2012-02-02,0.0
2012-02-03,-12.5
2012-02-07,-21.4286
2012-02-08,9.0909
2012-02-09,-8.3333
2012-02-10,9.0909
2012-02-13,-16.6667
2012-02-14,-10.0
2012-02-15,-11.1111
2012-02-16,25.0
2012-02-17,0.0
2012-02-21,0.0
2012-02-22,-15.0
2012-02-23,-37.6471
2012-02-24,5.6604
2012-02-27,-25.0
2012-02-28,30.506
2012-02-29,-25.1995
2012-03-02,-2.439
2012-03-06,7.1875
