ticker,HKEB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-28,-0.9901
2009-06-08,0.0
2009-06-17,0.0
2009-06-18,4.0
2009-06-19,3.8462
2009-06-22,20.3704
2009-06-23,9.0769
2009-06-24,-4.0903
2009-06-25,-5.8824
2009-06-26,6.25
2009-06-29,-5.8824
2009-06-30,-9.375
2009-07-01,-12.069
2009-07-02,-9.8039
2009-07-06,6.5217
2009-07-07,1.8367
2009-07-08,6.2124
2009-07-09,5.6604
2009-07-10,0.0
2009-07-13,16.0714
2009-07-14,-3.0769
2009-07-15,3.1746
2009-07-16,6.1538
2009-07-17,2.8986
2009-07-20,15.493
2009-07-21,25.6098
2009-07-22,37.8641
2009-07-23,9.1549
2009-07-24,-29.0323
2009-07-27,14.5455
2009-07-28,8.7302
2009-07-29,2.9196999999999997
2009-07-30,-8.5106
2009-07-31,-0.3876
2009-08-03,-10.5058
2009-08-04,-4.3478
2009-08-05,1.8182
2009-08-06,1.3393
2009-08-07,0.4405
2009-08-10,-5.2632
2009-08-11,-3.7037
2009-08-12,0.0
2009-08-13,3.6538
2009-08-14,-4.4527
2009-08-17,-1.9417
2009-08-18,-1.9802
2009-08-19,1.0101
2009-08-20,-8.0
2009-08-21,-15.2174
2009-08-24,12.8205
2009-08-25,27.2727
2009-08-26,6.25
2009-08-27,-11.7647
2009-08-28,-0.9524
2009-08-31,-1.9231
2009-09-01,2.9412000000000003
2009-09-02,-0.9524
2009-09-03,-6.7308
2009-09-04,-3.0928
2009-09-08,9.5745
2009-09-09,7.767
2009-09-10,0.9009
2009-09-11,-2.6786
2009-09-14,2.7523
2009-09-15,3.5714
2009-09-16,0.0
2009-09-17,0.0
2009-09-18,-1.2931
2009-09-21,-10.0437
2009-09-22,7.767
2009-09-23,-2.7027
2009-09-24,0.0
2009-09-25,-2.7778
2009-09-28,-4.7619
2009-09-29,1.0
2009-09-30,-2.7228
2009-10-01,-6.3613
2009-10-02,-2.1739
2009-10-05,-3.3333
2009-10-06,-8.046
2009-10-07,-10.0
2009-10-08,-12.5
2009-10-09,-4.7619
2009-10-12,-3.3333
2009-10-13,22.4138
2009-10-14,5.6338
2009-10-15,-6.6667
2009-10-16,-7.1429
2009-10-19,-6.1538
2009-10-20,-3.2787
2009-10-21,-1.6949
2009-10-22,-1.7241
2009-10-23,-1.7544
2009-10-26,-7.1429
2009-10-27,-11.538499999999999
2009-10-28,13.0435
2009-10-29,-5.7692
2009-10-30,2.0408
2009-11-02,-10.0
