ticker,SELSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,18.1818
2000-01-17,0.0
2000-02-01,-3.8462
2000-02-10,8.0
2000-02-17,18.5185
2000-02-18,0.0
2000-02-22,21.875
2000-02-23,12.8205
2000-02-24,0.0
2000-02-28,184.0909
2000-02-29,-59.6
2000-03-01,10.8911
2000-03-03,35.7143
2000-03-07,-7.2368
2000-03-08,-10.6383
2000-03-09,0.0
2000-03-10,19.0476
2000-03-13,14.6667
2000-03-15,-6.9767
2000-03-16,25.0
2000-03-17,-5.0
2000-03-20,6.3158
2000-03-22,-12.8713
2000-03-23,4.5455
2000-03-24,5.4348
2000-03-27,5.1546
2000-03-28,-11.7647
2000-03-30,2.2222
2000-03-31,-4.3478
2000-04-04,10.2273
2000-04-05,-5.1546
2000-04-07,4.3478
2000-04-14,-14.5833
2000-04-17,-11.5854
2000-05-01,18.6207
2000-05-04,-1.1628
2000-05-05,8.2353
2000-05-12,-5.4348
2000-05-16,-8.046
2000-05-23,-2.5
2000-05-30,-12.8205
2000-05-31,8.8235
2000-06-05,5.4054
2000-06-06,2.5641
2000-06-07,-5.0
2000-06-08,7.8947
2000-06-12,3.6585
2000-06-15,3.5294
2000-06-20,0.0
2000-06-22,-10.2273
2000-06-30,13.9241
2000-07-05,11.1111
2000-07-06,-7.0
2000-07-11,-1.0753
2000-07-21,15.2174
2000-07-27,1.8868
2000-07-28,11.1111
2000-07-31,-5.0
2000-08-01,0.8772
2000-08-03,-7.8261
2000-08-08,2.8302
2000-08-09,6.422
2000-08-11,-5.1724
2000-08-15,-3.6364
2000-08-16,-10.3774
2000-08-17,7.3684
2000-08-18,9.8039
2000-08-21,2.6786
2000-08-23,-4.3478
2000-08-31,2.7273
2000-09-05,-4.4248
2000-09-06,3.7037
2000-09-07,0.0
2000-09-08,4.4643
2000-09-11,9.4017
2000-09-12,17.9688
2000-09-14,-9.9338
2000-09-18,-2.9412000000000003
2000-09-19,2.2727
2000-09-20,5.1852
2000-09-22,12.6761
2000-09-25,6.25
2000-09-29,-5.8824
2000-10-03,-8.125
2000-10-04,-9.5238
2000-10-10,9.7744
2000-10-11,-2.7397
2000-10-12,3.5211
2000-10-13,-10.2041
2000-10-16,-6.0606
2000-10-17,4.8387
2000-10-19,3.0769
2000-10-20,-2.2388
2000-10-23,2.2901
2000-10-24,-9.7015
2000-10-25,0.8264
2000-10-26,-1.6393
2000-10-30,-19.1667
2000-10-31,3.0928
2000-11-06,3.0
2000-11-08,-17.4757
