ticker,ZIVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-31,-1.5385
2003-11-05,1.5625
2003-11-11,0.0
2003-11-12,7.6923
2003-11-13,0.0
2003-11-17,0.0
2003-11-18,0.0
2003-11-19,2.8571
2003-11-20,8.3333
2003-11-21,2.5641
2003-11-26,9.0
2003-11-28,10.0917
2003-12-01,0.0
2003-12-02,4.1667
2003-12-03,8.0
2003-12-04,11.1111
2003-12-05,6.6667
2003-12-08,-3.125
2003-12-09,0.0
2003-12-11,1.6129
2003-12-12,1.5873
2003-12-15,0.0
2003-12-16,-3.125
2003-12-22,3.2258
2003-12-23,-4.6875
2003-12-26,4.918
2003-12-31,0.0
2004-01-02,1.5625
2004-01-05,0.9231
2004-01-06,2.7439
2004-01-07,2.3739
2004-01-08,5.7971
2004-01-09,4.1096
2004-01-12,0.0
2004-01-13,3.9474
2004-01-14,1.2658
2004-01-15,-2.5
2004-01-16,0.0
2004-01-20,3.8462
2004-01-21,3.7037
2004-01-22,2.3810000000000002
2004-01-23,4.4186
2004-01-26,1.7816999999999998
2004-01-27,3.9387
2004-01-28,1.0526
2004-01-29,16.6667
2004-01-30,1.6071
2004-02-02,32.5132
2004-02-03,-17.7719
2004-02-04,-7.2581
2004-02-05,4.3478
2004-02-06,0.8333
2004-02-09,-9.0909
2004-02-10,-1.8182
2004-02-11,-7.4074
2004-02-12,-0.4
2004-02-13,4.4177
2004-02-17,3.8462
2004-02-18,-3.7037
2004-02-19,-2.8846
2004-02-20,2.9703
2004-02-23,-2.8846
2004-02-24,-0.9901
2004-02-25,-8.0
2004-02-26,-5.4348
2004-02-27,3.4483
2004-03-01,-3.3333
2004-03-02,-5.7471
2004-03-03,4.878
2004-03-04,-20.9302
2004-03-05,-4.4118
2004-03-08,-4.6154
2004-03-09,0.0
2004-03-10,0.0
2004-03-11,-19.3548
2004-03-12,20.0
2004-03-15,0.0
2004-03-22,-16.6667
2004-03-24,-36.0
2004-03-25,12.5
2004-03-26,0.0
2004-03-29,27.7778
2004-03-30,10.8696
2004-03-31,-1.9607999999999999
2004-04-01,-10.0
2004-04-05,-3.5556
2004-04-07,-0.9217
2004-04-08,-27.4419
2004-04-12,0.0
2004-04-13,-3.2051
2004-04-14,-7.2848
2004-04-15,-10.7143
2004-04-16,-16.0
2004-04-19,2.8571
2004-04-21,11.1111
2004-04-22,37.5
2004-04-23,33.3333
2004-04-26,10.0
2004-04-27,13.6364
2004-04-28,-9.0909
2004-04-29,-20.0
