ticker,CMNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-09,0.0
2004-07-12,20.9302
2004-07-13,-0.3846
2004-07-14,-22.7799
2004-07-15,-6.0
2004-07-16,-21.2766
2004-07-19,14.1892
2004-07-20,-1.7751000000000001
2004-07-21,5.4217
2004-07-22,-2.8571
2004-07-23,-5.8824
2004-07-26,-3.125
2004-07-27,-3.2258
2004-07-28,9.9
2004-07-29,-2.9421
2004-07-30,3.125
2004-08-02,0.0
2004-08-03,-8.4848
2004-08-04,-0.6623
2004-08-05,0.0
2004-08-06,0.0
2004-08-09,3.3333
2004-08-10,0.0
2004-08-11,1.2903
2004-08-12,-4.4586
2004-08-13,0.0
2004-08-16,-5.3333
2004-08-17,3.5211
2004-08-18,-4.0816
2004-08-19,-4.2553
2004-08-20,0.0
2004-08-23,0.0
2004-08-24,-2.963
2004-08-25,0.0
2004-08-26,6.8702
2004-08-27,-7.1429
2004-08-30,3.8462
2004-08-31,3.7037
2004-09-01,2.1429
2004-09-02,-5.5944
2004-09-03,8.8889
2004-09-07,-7.483
2004-09-08,-0.7353
2004-09-09,11.1111
2004-09-10,0.0
2004-09-13,10.0
2004-09-14,15.1515
2004-09-15,3.1579
2004-09-16,-4.5918
2004-09-17,-2.1390000000000002
2004-09-20,-1.0929
2004-09-22,-8.8398
2004-09-23,-1.2121
2004-09-24,1.227
2004-09-27,2.4242
2004-09-28,0.0
2004-09-29,-8.284
2004-09-30,6.4516
2004-10-04,0.0
2004-10-05,-3.0303
2004-10-06,-6.25
2004-10-07,6.6667
2004-10-11,-6.25
2004-10-13,6.6667
2004-10-15,-1.875
2004-10-18,-3.8217
2004-10-19,-7.2848
2004-10-20,0.0
2004-10-21,0.7143
2004-10-22,3.5461
2004-10-25,-7.5342
2004-10-26,-3.7037
2004-10-27,19.2308
2004-10-28,-12.9032
2004-10-29,-3.7037
2004-11-01,-7.6923
2004-11-02,2.5
2004-11-03,-5.6911000000000005
2004-11-04,-5.1724
2004-11-05,0.9091
2004-11-08,3.6036
2004-11-09,0.0
2004-11-10,-7.8261
2004-11-11,-0.9434
2004-11-12,-7.619
2004-11-15,8.2474
2004-11-16,-3.8095
2004-11-17,11.8812
2004-11-18,-3.5398
2004-11-19,4.5872
2004-11-22,2.6316
2004-11-23,-5.9829
2004-11-24,2.7273
2004-11-26,3.5398
2004-11-29,8.547
2004-11-30,18.8976
2004-12-01,-1.9868000000000001
2004-12-02,-1.3514
2004-12-03,-0.6849
2004-12-06,-6.8966
