ticker,ODYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-19,5.2632
2006-10-20,9.375
2006-10-23,2.8571
2006-10-24,4.4444
2006-10-25,11.7021
2006-10-26,0.4762
2006-10-27,1.8957000000000002
2006-10-30,0.0
2006-10-31,4.6512
2006-11-01,-1.3333
2006-11-02,3.6036
2006-11-03,4.3478
2006-11-06,2.0833
2006-11-07,-2.0408
2006-11-08,6.25
2006-11-09,2.7451
2006-11-10,-0.7634
2006-11-13,3.8462
2006-11-14,-3.7037
2006-11-15,-1.9231
2006-11-16,0.0
2006-11-17,5.8824
2006-11-20,2.963
2006-11-21,1.4388
2006-11-22,1.0638
2006-11-24,-1.4035
2006-11-27,-0.3559
2006-11-28,-1.7856999999999998
2006-11-29,3.6364
2006-11-30,-1.7544
2006-12-01,1.7856999999999998
2006-12-04,-0.7018
2006-12-05,-6.3604
2006-12-06,-5.6604
2006-12-07,-22.0
2006-12-08,-3.5897
2006-12-11,-1.5957
2006-12-12,0.0
2006-12-14,-2.7027
2006-12-15,2.2222
2006-12-18,-3.8043
2006-12-19,-9.6045
2006-12-20,4.375
2006-12-21,-0.5988
2006-12-22,-0.6024
2006-12-26,-3.0303
2006-12-27,0.0
2006-12-28,3.125
2006-12-29,-2.4242
2007-01-03,5.5901
2007-01-04,-2.9412000000000003
2007-01-05,0.0
2007-01-08,3.0303
2007-01-09,2.9412000000000003
2007-01-10,0.5714
2007-01-11,7.3864
2007-01-12,8.4656
2007-01-16,7.3171
2007-01-17,3.1818
2007-01-18,1.3216
2007-01-19,-2.1739
2007-01-22,-2.2222
2007-01-23,1.8182
2007-01-24,4.9107
2007-01-25,1.7021
2007-01-26,0.0
2007-01-29,0.4184
2007-01-30,-2.0833
2007-01-31,-2.1277
2007-02-01,-5.2174
2007-02-02,-19.7248
2007-02-05,13.7143
2007-02-06,-3.5176
2007-02-07,4.1667
2007-02-08,4.0
2007-02-09,0.0
2007-02-12,0.9615
2007-02-13,-0.9524
2007-02-14,0.4808
2007-02-15,0.0
2007-02-16,-4.3062000000000005
2007-02-20,-0.5
2007-02-21,-0.5025
2007-02-22,0.0
2007-02-23,-4.0404
2007-02-26,-7.8947
2007-02-27,-6.8571
2007-02-28,1.227
2007-03-01,0.0
2007-03-02,0.0
2007-03-05,21.2121
2007-03-06,-0.5
2007-03-07,-2.0101
2007-03-08,-2.5641
2007-03-09,-11.5789
2007-03-12,9.5238
2007-03-13,-2.7174
2007-03-14,-1.6760000000000002
2007-03-15,0.0
