ticker,FDEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-17,635.2941
2004-01-09,-60.0
2004-01-23,-5.625
2004-01-27,32.4503
2004-02-03,25.0
2004-03-08,220.0
2004-03-09,-50.0
2004-03-12,150.0
2004-03-15,0.0
2004-03-18,19.0
2004-03-19,0.8403
2004-03-26,70.0
2004-03-29,2.451
2004-03-30,0.4785
2004-03-31,-9.5238
2004-04-01,5.7895
2004-04-02,4.4776
2004-04-05,4.7619
2004-04-06,-10.0
2004-04-07,11.1111
2004-04-13,12.7273
2004-04-15,-18.5484
2004-04-16,8.9109
2004-04-20,13.6364
2004-04-22,-9.2
2004-04-23,9.2511
2004-04-26,-15.3226
2004-04-27,14.2857
2004-04-28,1.6667
2004-04-29,0.0
2004-04-30,1.2295
2004-05-03,8.8259
2004-05-04,-1.7856999999999998
2004-05-05,5.303
2004-05-06,-3.5971
2004-05-07,-0.7463
2004-05-10,-3.0075
2004-05-11,-4.6512
2004-05-12,-3.252
2004-05-13,-4.2017
2004-05-14,-7.0175
2004-05-17,10.3774
2004-05-18,-4.2735
2004-05-19,-5.3571
2004-05-20,15.0943
2004-05-21,-8.1967
2004-05-24,-1.7856999999999998
2004-05-25,15.4545
2004-05-26,-12.5984
2004-05-27,15.3153
2004-05-28,-2.3438
2004-06-01,-8.0
2004-06-02,-8.6957
2004-06-03,1.9048
2004-06-04,0.0
2004-06-07,-11.215
2004-06-08,6.3158
2004-06-09,-3.9604
2004-06-10,3.0928
2004-06-16,-1.0
2004-06-17,-7.0707
2004-06-18,-2.7174
2004-06-21,0.0
2004-06-22,-7.2626
2004-06-23,8.4337
2004-06-24,-0.5556
2004-06-25,-1.6760000000000002
2004-06-28,-9.0909
2004-06-29,0.0
2004-06-30,2.5
2004-07-01,-7.3171
2004-07-02,-11.8421
2004-07-06,2.9851
2004-07-07,-2.8986
2004-07-08,-2.9851
2004-07-09,-6.1538
2004-07-12,0.0
2004-07-13,-4.918
2004-07-15,18.9655
2004-07-16,-4.3478
2004-07-19,16.6667
2004-07-20,-14.2857
2004-07-21,21.2121
2004-07-22,10.0
2004-07-23,4.5455
2004-07-26,-17.3913
2004-07-27,-7.8947
2004-07-28,2.8571
2004-07-29,6.9444
2004-07-30,5.1948
2004-08-02,-3.7037
2004-08-03,-1.2821
2004-08-04,-11.6883
2004-08-05,11.7647
2004-08-06,-2.6316
2004-08-09,1.3514
2004-08-10,-6.6667
2004-08-11,0.0
2004-08-12,5.7143
2004-08-13,2.7027
