ticker,NVMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-11,21.875
2000-04-12,-15.6695
2000-04-13,-2.7027
2000-04-14,0.0868
2000-04-17,-0.0867
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,-16.6667
2000-04-24,-2.5
2000-04-25,-11.1111
2000-04-26,2.4038
2000-04-27,6.1033
2000-04-28,1.7699
2000-05-01,16.5217
2000-05-02,6.7164
2000-05-03,2.0979
2000-05-04,5.4795
2000-05-05,-3.2468
2000-05-08,-7.047
2000-05-09,1.083
2000-05-10,-6.4286
2000-05-11,-2.6718
2000-05-12,2.7451
2000-05-15,-3.8167999999999997
2000-05-16,-7.1429
2000-05-17,-7.6923
2000-05-18,-7.4074
2000-05-19,-4.0
2000-05-22,-10.4167
2000-05-23,1.1628
2000-05-24,-10.3448
2000-05-25,10.2564
2000-05-26,-1.7442
2000-05-30,1.7751000000000001
2000-05-31,-2.3256
2000-06-01,-5.9524
2000-06-02,7.7532
2000-06-05,2.2026
2000-06-06,-1.1494
2000-06-07,6.9767
2000-06-08,4.3478
2000-06-09,0.0
2000-06-12,8.3333
2000-06-13,2.8846
2000-06-14,12.1495
2000-06-15,-2.5
2000-06-16,1.7094
2000-06-19,0.0
2000-06-20,0.0
2000-06-21,-4.2017
2000-06-22,-1.7544
2000-06-23,-2.6786
2000-06-26,17.4312
2000-06-27,-12.5
2000-06-28,4.9107
2000-06-29,3.8298
2000-06-30,5.3279
2000-07-03,-1.9455
2000-07-05,-0.7937
2000-07-06,-4.0
2000-07-07,5.0
2000-07-10,7.9365
2000-07-11,2.9412000000000003
2000-07-12,7.5
2000-07-13,0.9967
2000-07-14,0.0
2000-07-17,-2.6316
2000-07-18,-10.1351
2000-07-19,0.0
2000-07-20,-4.1353
2000-07-21,1.5686
2000-07-24,-5.0193
2000-07-25,3.252
2000-07-26,-10.2362
2000-07-27,4.386
2000-07-28,0.8403
2000-07-31,2.5
2000-08-01,0.813
2000-08-02,0.0
2000-08-03,-5.6452
2000-08-04,-1.7094
2000-08-07,4.3478
2000-08-08,-3.3333
2000-08-09,0.0
2000-08-10,0.8621
2000-08-11,1.2821
2000-08-14,-11.3924
2000-08-15,1.4285999999999999
2000-08-16,0.0
2000-08-17,1.4085
2000-08-18,2.7778
2000-08-21,0.0
2000-08-22,-1.8018
2000-08-23,1.8349
2000-08-24,-5.4054
2000-08-25,-3.8095
2000-08-28,4.3317
2000-08-29,4.3891
2000-08-30,1.8182
2000-08-31,-0.8929
