ticker,SBFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7037
2000-01-06,9.6154
2000-01-07,-7.0175
2000-01-11,0.0
2000-01-12,4.717
2000-01-13,-2.7027
2000-01-14,4.6296
2000-01-18,-7.9646
2000-01-19,9.6154
2000-01-20,-8.7719
2000-01-24,5.7692
2000-01-25,0.0
2000-01-26,-5.4545
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,5.7692
2000-02-02,0.0
2000-02-04,0.0
2000-02-07,-1.8182
2000-02-08,0.0
2000-02-09,-3.7037
2000-02-10,0.0
2000-02-14,3.8462
2000-02-15,-3.7037
2000-02-17,5.7692
2000-02-18,-1.8182
2000-02-22,2.7778
2000-02-24,-5.4054
2000-02-25,0.0
2000-02-28,0.0
2000-03-01,-0.9524
2000-03-02,3.8462
2000-03-06,-3.7037
2000-03-09,4.7324
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,-3.7037
2000-03-15,3.8462
2000-03-16,0.463
2000-03-21,-4.1475
2000-03-23,3.6923
2000-03-24,0.1484
2000-03-27,-0.9259
2000-03-28,0.0
2000-03-29,0.4673
2000-03-30,-1.3953
2000-04-03,0.0
2000-04-04,1.8868
2000-04-07,0.0
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,0.0
2000-04-13,0.463
2000-04-17,-1.8433000000000002
2000-04-18,3.2864
2000-04-19,-0.9091
2000-04-20,-0.9174
2000-04-24,1.8519
2000-04-26,-1.8182
2000-04-28,2.3148
2000-05-01,0.0
2000-05-02,-0.4525
2000-05-04,1.8182
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-3.5714
2000-05-11,3.7037
2000-05-12,0.0
2000-05-15,-3.5714
2000-05-16,-0.463
2000-05-18,1.3953
2000-05-22,-2.7523
2000-05-24,-3.7736
2000-05-25,0.0
2000-05-31,6.8627
2000-06-05,-6.422
2000-06-07,0.8627
2000-06-08,6.8627
2000-06-12,0.0
2000-06-13,1.8349
2000-06-14,-2.7027
2000-06-20,-3.7037
2000-06-21,0.0
2000-06-23,4.8077
2000-06-28,0.0
2000-06-30,0.0
2000-07-03,-4.5872
2000-07-05,4.8077
2000-07-06,0.0
2000-07-10,-4.5872
2000-07-11,4.8077
2000-07-12,-4.5872
2000-07-13,0.0
2000-07-14,4.8077
2000-07-24,-4.5872
2000-07-25,0.0
2000-07-26,0.0
2000-07-27,3.8462
2000-07-31,0.9259
2000-08-01,-0.9174
2000-08-04,-0.9259
2000-08-08,0.0
