ticker,DLLLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-03,5.3097
2010-05-06,-21.8487
2010-05-11,4.8135
2010-05-25,-9.4654
2010-06-04,1.688
2010-09-02,2.7174
2010-09-16,1.4627
2010-09-21,2.9378
2010-09-30,3.5162
2010-10-04,0.6434
2010-10-06,4.5701
2010-10-14,3.4247
2010-11-11,-0.4926
2010-12-20,-3.2178
2011-01-04,9.2072
2011-01-05,3.5129
2011-01-06,1.3575
2011-01-07,-2.0089
2011-01-10,-1.3667
2011-01-11,1.3857
2011-01-12,4.9203
2011-01-13,2.0408
2011-01-14,-1.0638
2011-01-18,5.6293
2011-01-19,-0.8503
2011-01-20,0.2053
2011-01-21,3.8933999999999997
2011-01-24,0.0
2011-01-27,0.0
2011-02-02,3.0375
2011-02-03,-1.2251
2011-02-04,0.3876
2011-02-08,4.2471
2011-02-09,-1.1111
2011-02-16,-4.1199
2011-02-18,-0.3906
2011-02-22,-1.3725
2011-02-23,-2.3857
2011-02-28,-2.4032999999999998
2011-03-01,0.3756
2011-03-02,0.9319
2011-03-10,-0.3054
2011-03-16,-1.405
2011-03-18,4.0654
2011-03-21,3.7052
2011-03-24,2.9126
2011-04-05,0.0
2011-04-11,3.6604
2011-04-12,-7.0218
2011-04-13,1.4051
2011-04-19,-4.9035
2011-04-28,6.3743
2011-05-06,-3.8167999999999997
2011-05-09,1.1905000000000001
2011-05-13,-3.6792
2011-05-16,-0.7402
2011-05-18,-4.676
2011-05-19,0.2582
2011-05-20,0.1636
2011-05-23,-3.6592000000000002
2011-05-24,0.5933
2011-05-26,3.3429
2011-05-27,1.3333
2011-05-31,1.9737
2011-06-01,-1.8881999999999999
2011-06-02,1.9245
2011-06-03,1.0753
2011-06-06,-0.4255
2011-06-08,-2.5641
2011-06-09,0.8772
2011-06-10,0.0
2011-06-13,-2.1739
2011-06-14,2.0
2011-06-17,0.6923
2011-06-20,-0.4711
2011-06-23,-2.6087
2011-06-24,-0.7143
2011-06-27,0.7194
2011-06-29,4.0179
2011-07-05,5.0644
2011-07-06,-0.1225
2011-07-07,-1.8405
2011-07-12,-5.4167
2011-07-13,-1.9383
2011-07-18,-3.9847
2011-07-19,-0.1076
2011-07-20,2.3419
2011-07-21,6.6362
2011-07-25,-1.5021
2011-07-27,-2.963
2011-07-28,-0.2694
2011-08-03,-8.2846
2011-08-04,-7.2656
2011-08-05,-1.4293
2011-08-08,-7.3732
2011-08-09,6.6667
2011-08-10,-5.6869
2011-08-17,12.6567
