ticker,BIEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-04-13,38.2979
2004-04-14,-23.0769
2004-04-15,-4.0
2004-04-19,4.1667
2004-04-20,24.0
2004-04-21,4.8387
2004-04-22,23.0769
2004-04-23,31.25
2004-04-26,-13.3333
2004-04-27,-12.0879
2004-04-28,12.5
2004-04-29,5.5556
2004-04-30,-5.2632
2004-05-03,0.0
2004-05-04,-11.1111
2004-05-05,12.5
2004-05-06,-11.1111
2004-05-07,-12.5
2004-05-10,-21.4286
2004-05-11,0.0
2004-05-12,-9.0909
2004-05-13,-50.0
2004-05-14,60.0
2004-05-17,-12.5
2004-05-18,0.0
2004-05-19,-14.2857
2004-05-20,-26.6667
2004-05-21,50.0
2004-05-24,-3.0303
2004-05-25,-3.125
2004-05-26,-25.8065
2004-05-27,-4.3478
2004-05-28,13.6364
2004-06-01,4.0
2004-06-02,3.8462
2004-06-03,-37.037
2004-06-04,47.0588
2004-06-07,4.0
2004-06-08,23.0769
2004-06-09,9.375
2004-06-10,31.4286
2004-06-14,19.5652
2004-06-15,14.5455
2004-06-16,-7.1429
2004-06-17,-11.1111
2004-06-18,5.7692
2004-06-21,3.6364
2004-06-22,3.5088
2004-06-23,-22.0339
2004-06-24,6.5217
2004-06-25,2.0408
2004-06-28,2.0
2004-06-29,-11.7647
2004-06-30,-8.8889
2004-07-01,0.0
2004-07-02,9.7561
2004-07-06,-6.6667
2004-07-07,19.0476
2004-07-08,-18.0
2004-07-09,21.9512
2004-07-12,0.0
2004-07-13,0.0
2004-07-14,-10.0
2004-07-15,0.0
2004-07-16,-22.2222
2004-07-19,20.0
2004-07-20,-2.3810000000000002
2004-07-21,0.0
2004-07-22,-2.439
2004-07-23,0.0
2004-07-26,-7.5
2004-07-27,13.5135
2004-07-28,-16.6667
2004-07-29,0.0
2004-07-30,28.5714
2004-08-02,0.0
2004-08-03,-20.0
2004-08-04,19.4444
2004-08-05,0.0
2004-08-06,-4.6512
2004-08-09,0.0
2004-08-10,-26.8293
2004-08-11,-6.6667
2004-08-12,39.2857
2004-08-13,-2.5641
2004-08-16,-10.526299999999999
2004-08-17,11.7647
2004-08-18,-7.8947
2004-08-19,11.4286
2004-08-20,-7.6923
2004-08-23,-2.7778
2004-08-24,-2.8571
2004-08-25,2.9412000000000003
2004-08-26,-2.8571
2004-08-27,14.7059
2004-08-30,0.0
2004-08-31,10.2564
2004-09-01,-16.2791
2004-09-02,5.5556
2004-09-03,-5.2632
2004-09-07,19.4444
