ticker,CRLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-05,12.5
2000-01-06,66.6667
2000-01-07,-20.0
2000-01-12,-12.5
2000-01-18,14.2857
2000-01-20,-16.6667
2000-01-25,0.0
2000-01-28,30.0
2000-01-31,0.0
2000-02-03,15.3846
2000-02-08,-30.0
2000-02-09,80.9524
2000-02-11,0.0
2000-02-15,2.6316
2000-02-16,5.1282
2000-02-17,-4.878
2000-02-18,0.0
2000-02-23,-28.2051
2000-02-29,14.2857
2000-03-14,-12.5
2000-03-15,3.5714
2000-03-16,3.4483
2000-03-17,0.0
2000-03-20,0.0
2000-03-22,31.6667
2000-03-23,1.2658
2000-03-24,0.0
2000-03-27,20.0
2000-03-28,-4.1667
2000-03-29,160.8696
2000-03-30,-40.0
2000-03-31,5.5556
2000-04-03,0.0
2000-04-04,-1.9737
2000-04-05,-8.7248
2000-04-06,-11.7647
2000-04-11,6.6667
2000-04-12,0.0
2000-04-14,9.375
2000-04-17,-42.8571
2000-04-18,20.0
2000-04-19,50.0
2000-04-20,-11.1111
2000-04-24,6.25
2000-04-25,41.1765
2000-04-26,-18.75
2000-04-27,-7.6923
2000-04-28,8.3333
2000-05-01,-3.8462
2000-05-02,-3.4667
2000-05-03,-11.6022
2000-05-04,0.0
2000-05-05,15.625
2000-05-08,-2.7027
2000-05-10,0.0
2000-05-12,-2.7778
2000-05-15,2.8571
2000-05-16,29.1667
2000-05-17,20.4301
2000-05-18,-4.4643
2000-05-19,-0.9346
2000-05-22,-3.7736
2000-05-23,-1.9607999999999999
2000-05-24,-5.0
2000-05-25,1.0526
2000-05-30,2.0833
2000-05-31,-20.4082
2000-06-01,21.7949
2000-06-02,-6.3158
2000-06-06,-2.2472
2000-06-07,4.5977
2000-06-08,1.0989
2000-06-09,8.6957
2000-06-12,-4.0
2000-06-13,-2.0833
2000-06-14,3.1915
2000-06-15,-4.1237
2000-06-20,4.3011
2000-06-26,-13.4021
2000-06-27,2.3810000000000002
2000-06-29,-1.1628
2000-06-30,-5.8824
2000-07-03,-10.0
2000-07-05,-5.5556
2000-07-06,5.8824
2000-07-07,11.1111
2000-07-10,-3.75
2000-07-11,-3.8961
2000-07-12,3.3784
2000-07-13,3.268
2000-07-14,-5.0633
2000-07-17,-2.6667
2000-07-18,-4.1096
2000-07-19,4.2857
2000-07-20,10.9589
2000-07-21,1.8519
2000-07-24,-0.6061
2000-07-25,7.3171
2000-07-26,2.8409
2000-07-27,1.6575
