ticker,NEUN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,0.0
2000-01-27,194.1176
2000-02-03,-31.25
2000-02-04,0.0
2000-10-25,-93.9394
2001-10-05,1180.0
2002-02-06,-37.5
2002-08-21,-50.0
2002-08-22,-40.0
2002-10-21,-26.6667
2003-06-23,0.0
2003-10-16,-9.0909
2004-02-19,100.0
2004-03-16,150.0
2004-06-01,0.0
2004-07-26,0.0
2004-10-11,20.0
2005-02-14,-15.0
2005-06-24,409.8039
2005-06-29,140.3846
2005-06-30,40.0
2005-07-01,0.0
2005-07-07,-42.8571
2005-07-25,-25.0
2005-07-26,-33.3333
2005-08-08,-50.0
2005-10-03,0.0
2005-10-31,-30.0
2005-11-29,-14.2857
2005-12-22,-50.0
2006-01-26,33.3333
2006-03-27,50.0
2006-03-28,0.0
2006-04-18,0.0
2006-04-25,0.0
2006-05-25,33.3333
2006-06-23,-75.0
2006-09-13,-10.0
2006-11-29,-22.2222
2006-11-30,-28.5714
2006-12-01,40.0
2006-12-18,0.0
2006-12-28,0.0
2007-04-17,14.2857
2007-05-14,-37.5
2007-11-12,-20.0
2007-11-19,-25.0
2007-12-20,33.3333
2008-01-07,0.0
2008-01-25,-25.0
2008-02-13,0.0
2008-02-20,-33.3333
2008-02-21,0.0
2008-02-26,100.0
2008-02-28,150.0
2008-02-29,100.0
2008-03-06,95.625
2008-03-10,-48.8818
2008-03-11,50.0
2008-03-18,-33.3333
2008-03-19,25.0
2008-03-20,-20.0
2008-03-28,-50.0
2008-04-09,100.0
2008-05-29,-75.0
2008-06-17,200.0
2008-06-25,-86.6667
2008-06-27,1400.0
2008-07-31,0.0
2008-08-29,-95.0
2008-09-10,33.3333
2008-12-09,0.0
2008-12-16,-25.0
2009-05-19,33.3333
2009-05-28,31.25
2009-06-02,0.0
2009-07-02,7.1429
2009-07-17,611.1111
2009-12-04,-55.0
2009-12-11,64.5833
2010-03-12,-97.8903
2010-06-25,1500.0
2010-09-15,100.0
2010-09-21,-73.75
2010-09-23,-23.8095
2010-09-24,-25.0
2010-09-28,166.6667
2010-10-01,75.0
2010-10-04,-41.0714
2010-10-05,-19.697
2010-10-06,-9.434
2010-10-07,-16.6667
2010-10-08,87.5
2010-10-14,28.0
2010-10-18,0.0
2010-10-22,64.5833
2010-10-25,51.8987
2010-10-26,-40.0
2010-10-28,36.8056
2010-10-29,-2.5381
2010-11-01,0.0
2010-11-02,-8.3333
2010-11-08,27.2727
2010-11-09,-21.4286
