ticker,PHBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-14,-44.0
2000-03-07,42.8571
2000-04-06,-30.0
2000-05-03,35.7143
2001-04-06,-5.2632
2001-05-08,-11.1111
2001-05-09,0.0
2001-05-10,0.0
2001-05-25,10.0
2001-06-04,-20.4545
2001-06-29,8.0
2001-07-30,-2.1164
2001-08-16,0.0
2001-08-23,-5.4054
2001-08-29,7.1429
2001-09-17,-4.9967
2001-09-21,-1.7578
2001-11-14,14.2857
2001-11-21,-12.5
2001-12-18,4.0
2002-01-30,-42.3077
2002-04-03,19.0476
2002-04-19,0.0
2002-04-23,1.8399999999999999
2002-07-01,17.8319
2002-09-24,0.0
2002-10-16,49.3333
2002-11-05,-33.0357
2002-11-06,0.0
2002-12-06,0.6667
2003-02-28,-0.6623
2003-04-24,6.6667
2003-06-13,0.0
2003-06-30,79.6875
2004-01-30,5.7866
2004-03-29,-5.9829
2004-04-16,-36.3636
2004-10-01,14.2857
2004-11-02,0.0
2004-12-31,-12.5
2005-01-03,0.0
2005-02-23,14.2857
2005-03-22,-12.5
2005-03-30,0.0
2005-04-15,0.0
2005-04-22,-17.1429
2005-05-05,0.0
2005-05-11,10.3448
2005-07-28,-9.375
2005-10-11,0.0
2005-12-09,-3.4483
2005-12-13,-57.1429
2006-01-18,25.0
2006-08-16,-13.3333
2007-04-16,0.0
2007-05-09,15.3846
2007-05-11,0.0
2007-05-14,40.0
2007-05-16,-3.8095
2007-05-31,-20.7921
2007-06-07,-18.75
2007-06-13,30.7692
2007-06-20,135.2941
2007-06-21,25.0
2007-06-22,-20.0
2007-06-29,-2.5
2007-07-06,-10.2564
2007-07-11,8.5714
2007-07-12,-15.7895
2007-07-19,9.375
2007-07-20,8.5714
2007-07-23,-2.6316
2007-07-30,-0.5405
2007-07-31,-2.1739
2007-08-01,2.2222
2007-08-02,-5.9783
2007-08-03,-1.7341
2007-08-06,-5.8824
2007-08-07,6.25
2007-08-08,0.0
2007-08-09,11.7647
2007-08-10,2.6316
2007-08-13,0.0
2007-08-14,0.0
2007-08-15,0.0
2007-08-16,-2.5641
2007-08-17,-21.0526
2007-08-20,13.3333
2007-08-21,0.0
2007-08-22,5.8824
2007-08-23,-5.5556
2007-08-24,5.8824
2007-08-27,6.6667
2007-08-28,4.1667
2007-08-29,-10.0
2007-08-30,-16.6667
2007-08-31,-22.6667
2007-09-04,-13.7931
2007-09-05,-4.0
2007-09-06,6.25
2007-09-07,-14.7059
2007-09-10,2.2989
