ticker,HQDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-09,-32.0
2016-12-12,-50.9804
2017-05-05,108.0
2017-05-10,63.4615
2017-05-12,12.3529
2017-05-17,4.712
2017-05-19,-41.5
2017-06-23,11.094
2017-06-26,69.2568
2017-06-27,-0.9091
2017-06-28,60.5505
2017-06-29,-8.5714
2017-06-30,7.8125
2017-07-07,7.2464
2017-07-10,0.0
2017-07-12,5.4054
2017-07-19,2.5641
2017-07-20,-25.0
2017-07-26,3.3333
2017-08-08,-16.129
2017-08-15,0.0
2017-08-24,-7.1154
2017-09-07,28.3644
2017-09-08,9.6774
2017-09-12,-8.8235
2017-09-13,22.5806
2017-09-20,-23.6842
2017-09-27,31.0345
2017-09-29,-21.0526
2017-10-09,-20.0067
2017-10-16,8.3424
2017-10-19,-3.8462
2017-10-20,10.48
2017-11-08,-15.0615
2017-11-16,27.8772
2017-11-17,26.6667
2017-11-21,-21.0526
2017-11-22,0.0
2017-12-08,-16.6667
2017-12-12,40.0
2017-12-20,0.0
2017-12-29,-14.2857
2018-01-17,-26.6667
2018-01-23,0.0
2018-02-01,-9.0909
2018-02-02,0.0
2018-02-12,0.0
2018-02-13,50.0
2018-02-20,0.0
2018-02-22,0.6667
2018-02-26,-33.7748
2018-03-06,0.0
2018-03-07,0.0
2018-03-09,0.0
2018-03-14,-25.0
2018-04-09,113.3333
2018-04-12,-6.25
2018-04-20,0.0
2018-05-04,-15.3333
2018-05-07,136.2205
2018-05-10,-33.3333
2018-05-11,15.0
2018-05-14,8.6957
2018-05-18,-20.0
2018-05-21,25.0
2018-05-23,-20.0
2018-05-25,50.0
2018-06-07,-33.3333
2018-06-08,50.0
2018-06-25,-33.3333
2018-06-26,37.5
2018-07-02,-27.2727
2018-07-03,37.5
2018-07-13,-27.2727
2018-07-16,37.5
2018-07-26,-38.1818
2018-07-27,17.647100000000002
2018-07-30,12.5
2018-08-03,11.1111
2018-08-06,0.0
2018-08-30,-12.0
2018-09-28,-11.3636
2018-10-01,0.0
2018-10-16,-35.8974
2018-10-18,-20.0
2018-11-06,0.0
2018-12-03,99.0
2019-04-22,50.7538
2019-04-26,16.6667
2019-05-22,-21.4286
2019-05-23,43.6364
2019-08-02,-23.7975
2019-08-05,16.2791
2019-08-06,0.0
2019-11-25,-14.2857
2020-03-19,-33.3333
2020-05-26,0.0
2020-06-10,-25.0
2020-06-17,66.6667
2020-06-19,-32.0
2020-07-06,-28.2353
