ticker,IPTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-22,10.0
2000-05-25,27.2727
2000-05-26,-14.2857
2000-06-02,-33.3333
2000-06-07,81.25
2000-07-13,-17.2414
2000-08-16,-29.8667
2000-09-05,-22.7662
2000-09-07,0.0
2000-09-08,38.4615
2000-09-13,-38.8889
2000-09-14,-4.5455
2000-09-15,0.0
2000-09-18,0.0
2000-09-19,0.0
2000-09-20,14.2857
2000-09-21,-8.3333
2000-09-22,-9.0909
2000-10-06,0.0
2000-10-17,-15.0
2000-10-23,0.0
2000-10-26,5.8824
2000-10-27,-50.0
2000-11-22,11.1111
2000-11-27,60.0
2001-01-02,6.25
2001-01-25,0.0
2001-01-30,-5.8824
2001-04-17,2.0
2001-10-22,0.0
2002-01-30,0.0
2002-03-19,-58.8235
2002-03-25,0.0
2002-04-01,0.0
2002-04-02,0.0
2002-04-18,66.6667
2002-07-16,-42.8571
2002-08-13,25.0
2002-08-19,-20.0
2002-08-26,25.0
2002-09-04,20.0
2002-09-05,16.6667
2002-09-10,20.0
2002-09-27,-19.0476
2002-10-04,47.0588
2002-10-09,20.0
2002-10-30,-43.3333
2002-11-08,47.0588
2002-11-19,14.0
2002-12-23,-40.3509
2003-01-08,-5.8824
2003-01-15,56.25
2003-01-16,0.0
2003-01-22,0.0
2003-01-23,2.0
2003-01-24,0.0
2003-01-29,3.9215999999999998
2003-01-31,7.5472
2003-02-03,-3.5088
2003-02-04,9.0909
2003-02-12,-3.3333
2003-02-13,-1.7241
2003-02-14,7.0175
2003-02-19,-1.6393
2003-02-20,0.0
2003-02-21,-31.6667
2003-02-26,29.2683
2003-03-07,3.7736
2003-03-18,3.6364
2003-03-19,1.7544
2003-03-20,8.6207
2003-03-21,9.5238
2003-04-01,-2.8986
2003-04-02,4.4776
2003-04-03,0.0
2003-04-07,2.8571
2003-04-08,-9.7222
2003-04-09,3.0769
2003-04-14,1.4925
2003-04-24,-5.8824
2003-04-25,6.25
2003-04-28,-7.3529
2003-04-29,7.9365
2003-04-30,-10.2941
2003-05-01,0.0
2003-05-02,6.5574
2003-05-05,-3.0769
2003-05-08,-12.6984
2003-05-29,0.0
2003-05-30,9.0909
2003-06-03,-8.3333
2003-06-04,7.2727
2003-06-06,1.6949
2003-06-09,0.0
2003-06-10,0.0
2003-06-17,1.6667
2003-06-18,0.0
2003-06-19,0.0
2003-06-27,-16.3934
2003-06-30,7.8431
2003-07-01,-7.2727
2003-07-02,5.8824
2003-07-10,-1.8519
