ticker,ADHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-03-26,-50.0
2004-04-12,100.0
2004-04-13,0.0
2004-04-14,16.6667
2004-04-15,-34.2857
2004-04-28,39.1304
2004-04-30,0.0
2004-05-05,0.0
2004-05-26,12.5
2004-05-27,2.2222
2004-05-28,0.0
2004-06-01,-7.6087
2004-06-02,2.9412000000000003
2004-06-03,-32.0
2004-06-04,-11.7647
2004-06-07,-19.0476
2004-06-08,1.1764999999999999
2004-06-09,-1.1628
2004-06-10,-27.0588
2004-06-14,29.0323
2004-06-15,-6.25
2004-06-16,-6.6667
2004-06-18,21.4286
2004-06-22,9.4118
2004-06-23,-19.3548
2004-06-24,1.3333
2004-06-25,7.8947
2004-07-07,-37.8049
2004-07-09,-23.5294
2004-07-13,-10.2564
2004-07-14,-11.4286
2004-07-16,-16.129
2004-07-19,-3.8462
2004-07-23,60.0
2004-07-26,12.5
2004-07-27,-44.4444
2004-08-02,0.0
2004-08-03,20.0
2004-08-05,-40.0
2004-08-09,11.1111
2004-08-11,0.0
2004-08-12,-40.0
2004-08-16,0.0
2004-08-17,-33.3333
2004-08-18,37.5
2004-08-19,-9.0909
2004-08-20,-20.0
2004-08-23,87.5
2004-08-24,0.0
2004-08-25,13.3333
2004-08-26,5.8824
2004-08-27,33.3333
2004-08-30,87.5
2004-08-31,33.3333
2004-09-01,-15.0
2004-09-02,1.9607999999999999
2004-09-03,-13.461500000000001
2004-09-07,-11.1111
2004-09-08,-25.0
2004-09-09,16.6667
2004-09-10,-20.0
2004-09-13,0.0
2004-09-14,-7.1429
2004-09-15,-15.3846
2004-09-16,0.0
2004-09-17,-4.5455
2004-09-23,19.0476
2004-09-27,-4.0
2004-09-29,-12.5
2004-09-30,-4.7619
2004-10-04,0.0
2004-10-05,0.0
2004-10-12,20.0
2004-10-13,45.8333
2004-10-14,11.4286
2004-10-15,15.3846
2004-10-18,13.3333
2004-10-19,0.0
2004-10-20,-1.9607999999999999
2004-10-21,0.0
2004-10-22,-20.0
2004-10-25,0.0
2004-10-26,0.0
2004-10-29,7.5
2004-11-02,0.0
2004-11-05,-23.2558
2004-11-08,-9.0909
2004-11-16,-16.6667
2004-11-22,0.0
2004-11-24,8.0
2004-11-29,-7.4074
2004-12-13,8.0
2004-12-15,0.0
2004-12-16,-7.4074
2004-12-17,-20.0
2004-12-20,0.0
2004-12-28,0.0
2004-12-29,0.0
2005-01-05,0.0
2005-01-07,0.0
2005-01-10,-5.0
2005-01-12,-5.2632
