ticker,EVSV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,-6.8323
2000-01-11,37.5
2000-01-13,15.1515
2000-01-19,0.0
2000-01-27,-5.2632
2000-02-07,16.6667
2000-02-14,-14.2857
2000-02-23,5.5556
2000-03-13,0.0
2000-03-14,5.2632
2000-03-15,-5.0
2000-03-20,-3.1579
2000-03-21,-52.1739
2000-03-23,78.1818
2000-03-24,14.7959
2000-04-07,22.2222
2000-04-17,-18.9091
2000-04-18,0.0
2000-04-19,0.8969
2000-04-25,0.0
2000-04-26,22.2222
2000-05-08,-7.6364
2000-05-16,7.0866
2000-05-18,-0.7353
2000-05-25,-0.463
2000-06-06,13.9535
2000-06-07,-2.0408
2000-06-20,10.4167
2000-06-27,5.6604
2000-07-05,-42.8571
2000-07-06,96.875
2000-07-25,-3.4920999999999998
2000-07-26,5.5263
2000-08-10,2.8678
2000-08-14,6.6667
2000-08-21,-0.5682
2000-08-28,-8.5714
2000-08-29,10.0
2000-09-11,-27.2727
2000-09-12,7.4219
2000-09-13,0.0
2000-09-14,5.4545
2000-09-15,44.8276
2000-09-19,-11.9048
2000-09-20,0.0
2000-09-21,3.6216
2000-09-25,17.3709
2000-09-27,-16.4444
2000-09-28,26.3298
2000-09-29,-0.7158
2000-10-02,10.9415
2000-10-03,17.5459
2000-10-04,-10.0163
2000-10-05,7.5172
2000-10-09,-12.605
2000-10-10,-7.3846
2000-10-11,1.7442
2000-10-17,6.1224
2000-10-19,1.9231
2000-10-20,-1.8868
2000-10-24,-6.7308
2000-10-25,7.2165
2000-10-26,-7.6923
2000-10-31,-2.3333
2000-11-01,-1.8771
2000-11-02,-4.3478
2000-11-03,-6.8182
2000-11-07,0.0
2000-11-08,0.0
2000-11-10,-4.878
2000-11-14,-1.5385
2000-11-20,3.75
2000-11-21,0.4016
2000-11-22,0.0
2000-11-24,-2.0
2000-11-27,2.8571
2000-11-29,1.6865
2000-11-30,-4.3902
2000-12-05,0.0
2000-12-06,4.0816
2000-12-07,5.3922
2000-12-08,-16.2791
2000-12-11,0.0
2000-12-12,-11.1111
2000-12-13,-21.875
2000-12-14,-48.8
2000-12-15,12.5
2000-12-18,-8.3333
2000-12-19,9.0909
2000-12-20,44.4444
2000-12-21,3.8462
2000-12-22,29.6296
2000-12-26,-42.8571
2000-12-27,10.0
2000-12-28,-14.7727
2000-12-29,16.6667
2001-01-02,-8.5714
2001-01-03,0.0
2001-01-04,56.25
2001-01-05,15.2
2001-01-08,30.2083
