ticker,SEEK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-06,20.0
2002-04-16,16.6667
2002-10-11,-57.1429
2003-04-30,233.3333
2003-05-05,-20.0
2003-05-06,-12.5
2003-05-08,-14.2857
2003-05-15,150.0
2004-01-09,40.0
2004-06-10,-9.5238
2004-08-17,5.2632
2004-08-20,6.25
2004-08-27,-5.8824
2004-08-30,-5.0
2004-09-07,2.6316
2004-09-10,0.0
2004-09-13,1.2821
2004-09-20,0.0
2004-09-21,-3.7975
2005-01-07,21.0526
2005-01-10,4.3478
2005-01-11,16.6667
2005-01-12,12.5
2005-01-13,-4.7619
2005-01-14,-5.0
2005-01-18,5.2632
2005-01-19,-3.3
2005-01-20,-2.9645
2005-01-21,5.6838
2005-01-24,-9.2437
2005-01-25,-2.2222
2005-01-26,-9.0909
2005-01-27,0.0
2005-01-28,7.0833
2005-01-31,0.5837
2005-02-01,-7.1567
2005-02-02,-8.3333
2005-02-03,27.5
2005-02-04,1.6042999999999998
2005-02-07,-6.8421
2005-02-08,10.1695
2005-02-09,-5.1282
2005-02-10,-8.1081
2005-02-11,-5.1765
2005-02-14,4.2184
2005-02-15,0.119
2005-02-16,-4.8751
2005-02-17,0.0
2005-02-18,0.0
2005-02-22,-6.25
2005-02-23,2.0
2005-02-24,-8.4967
2005-02-25,-14.2857
2005-02-28,-13.3333
2005-03-01,3.8462
2005-03-02,0.0
2005-03-04,-14.8148
2005-03-07,-11.9565
2005-03-08,27.1605
2005-03-09,6.7961
2005-03-10,-11.818200000000001
2005-03-11,6.3918
2005-03-14,0.7752
2005-03-15,-13.461500000000001
2005-03-16,0.0
2005-03-17,13.3333
2005-03-18,2.9412000000000003
2005-03-21,-2.8571
2005-03-22,4.902
2005-03-23,0.9346
2005-03-24,-6.8519
2005-03-29,0.1988
2005-03-30,6.1508
2005-03-31,-4.6729
2005-04-04,0.9804
2005-04-05,-1.7476
2005-04-06,25.0988
2005-04-07,-14.6919
2005-04-08,11.1111
2005-04-11,-8.3333
2005-04-12,-1.8182
2005-04-13,-11.1111
2005-04-14,4.1667
2005-04-15,0.0
2005-04-18,0.0
2005-04-19,-4.0
2005-04-20,-6.25
2005-04-21,2.2222
2005-04-25,8.6957
2005-04-26,10.0
2005-04-27,-9.0909
2005-05-02,-20.0
2005-05-03,24.75
2005-05-06,-18.8377
2005-05-10,23.4568
2005-05-11,28.0
2005-05-13,-2.9688
2005-05-16,-27.5362
2005-05-17,5.5556
2005-05-18,-5.0526
