ticker,PRAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-10.0
2000-01-04,5.5556
2000-01-06,0.0
2000-01-07,36.8421
2000-01-10,-3.8462
2000-01-12,-4.0
2000-01-13,-2.0833
2000-01-14,10.6383
2000-01-18,0.0
2000-01-19,0.0
2000-01-21,-11.538499999999999
2000-01-24,0.0
2000-01-25,19.5652
2000-01-26,-16.3636
2000-01-28,0.0
2000-02-01,-6.5217
2000-02-02,2.3256
2000-02-03,9.0909
2000-02-04,-8.3333
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,0.0
2000-02-14,-9.0909
2000-02-15,0.0
2000-02-16,-10.0
2000-02-17,13.8889
2000-02-18,7.3171
2000-02-22,4.5455
2000-02-23,-8.6957
2000-02-25,0.0
2000-02-28,9.5238
2000-02-29,-4.3478
2000-03-01,0.0
2000-03-02,4.5455
2000-03-03,4.3478
2000-03-06,8.3333
2000-03-07,0.0
2000-03-08,0.0
2000-03-10,3.8462
2000-03-13,0.0
2000-03-14,-3.7037
2000-03-15,-23.0769
2000-03-17,15.0
2000-03-20,21.7391
2000-03-21,3.5714
2000-03-22,6.8966
2000-03-23,9.6774
2000-03-24,35.2941
2000-03-27,13.0435
2000-03-28,-6.7308
2000-03-29,3.0928
2000-03-30,-27.0
2000-03-31,-1.3699
2000-04-03,-19.4444
2000-04-04,5.1724
2000-04-05,0.0
2000-04-06,1.6393
2000-04-07,9.6774
2000-04-10,-8.8235
2000-04-11,9.6774
2000-04-12,-5.8824
2000-04-13,-12.5
2000-04-14,-14.2857
2000-04-17,8.3333
2000-04-18,-7.6923
2000-04-19,4.1667
2000-04-20,0.0
2000-04-24,4.0
2000-04-25,-7.6923
2000-04-26,-14.5833
2000-04-27,17.0732
2000-04-28,-8.3333
2000-05-01,6.8182
2000-05-02,-2.1277
2000-05-03,0.0
2000-05-04,2.1739
2000-05-05,0.0
2000-05-08,7.4468
2000-05-09,-12.8713
2000-05-10,0.0
2000-05-11,-6.8182
2000-05-12,-2.439
2000-05-15,17.5
2000-05-16,0.0
2000-05-17,2.1277
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,-8.3333
2000-05-25,0.0
2000-05-26,4.5455
2000-05-30,8.6957
2000-05-31,-8.0
2000-06-01,4.3478
2000-06-02,-18.75
2000-06-05,7.6923
2000-06-06,0.0
2000-06-07,-7.1429
2000-06-08,0.0
2000-06-09,17.9487
2000-06-12,0.0
2000-06-14,0.0
