ticker,ICIZF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-02,-4.5226
2010-11-04,9.1228
2010-11-08,3.537
2010-11-17,-4.8137
2010-11-26,-4.5677
2010-11-30,-2.5107
2010-12-06,-8.2959
2010-12-09,-0.3824
2010-12-13,9.8848
2010-12-20,-11.3755
2010-12-29,31.0421
2010-12-31,14.3072
2011-01-04,1.3158
2011-01-05,-0.1948
2011-01-06,12.8334
2011-01-07,-1.6865999999999999
2011-01-10,4.5308
2011-01-13,-0.3928
2011-01-27,-3.077
2011-02-01,1.3803
2011-02-02,0.3225
2011-02-03,4.4786
2011-02-07,-1.9895
2011-02-08,-4.0318
2011-02-10,-2.5004
2011-02-16,-1.4015
2011-02-17,7.4853
2011-02-18,4.502
2011-02-22,-2.2079
2011-02-25,-6.3326
2011-03-04,-6.1728
2011-03-17,-12.969899999999999
2011-03-21,9.9082
2011-03-24,0.0737
2011-03-30,8.5911
2011-04-04,-3.4358
2011-04-05,0.2497
2011-04-06,0.7472
2011-04-12,-10.6304
2011-04-13,8.342
2011-04-14,0.4708
2011-04-25,-8.7675
2011-04-27,4.6657
2011-05-18,-11.7349
2011-05-24,1.0082
2011-06-06,1.4925
2011-06-09,5.0919
2011-06-10,-10.5825
2011-06-13,5.0372
2011-06-15,-3.2778
2011-06-27,-3.8798
2011-06-30,8.8942
2011-07-05,26.1221
2011-07-06,6.4177
2011-07-07,0.2193
2011-07-08,-1.5316999999999998
2011-07-11,11.2361
2011-07-12,-3.4461
2011-07-13,-3.3750999999999998
2011-07-14,9.2479
2011-07-15,-2.5358
2011-07-18,-3.0543
2011-07-19,4.447
2011-07-20,-4.1708
2011-07-21,1.4508
2011-07-22,0.5426
2011-07-25,-2.6732
2011-07-27,-2.6096
2011-07-29,-1.8221
2011-08-02,7.5328
2011-08-03,3.5533
2011-08-04,-5.3922
2011-08-05,0.3303
2011-08-10,-6.8879
2011-08-11,4.2707
2011-08-12,-1.4894
2011-08-15,-0.54
2011-08-17,-1.4115
2011-08-30,0.9912
2011-08-31,2.9989
2011-09-01,-9.3568
2011-09-02,-0.9636
2011-09-08,0.2506
2011-09-13,-9.1912
2011-09-16,-1.2793999999999999
2011-09-19,0.2625
2011-09-22,0.1309
2011-09-23,-0.6291
2011-09-27,3.0009
2011-09-28,2.1711
2011-10-07,5.0
2011-10-11,2.5595
2011-10-12,0.2322
2011-10-13,0.7528
2011-10-14,1.1494
2011-10-17,1.1364
2011-10-18,0.1124
2011-10-19,4.2649
