ticker,MNHD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-13,60.0
2007-12-24,12.5
2008-01-02,13.3333
2008-01-03,145.098
2008-01-09,60.0
2008-01-30,0.0
2008-01-31,25.0
2008-02-07,-20.0
2008-03-19,-37.5
2008-03-27,20.0
2008-03-31,30.0
2008-05-16,15.3846
2008-05-22,-11.1111
2008-07-10,0.0
2008-07-21,0.0
2008-08-07,-2.5
2008-08-12,-48.2051
2008-08-14,3.9604
2008-08-18,19.0476
2008-08-19,0.0
2008-08-21,-4.0
2008-08-22,4.1667
2008-08-25,0.0
2008-08-26,-12.8
2008-08-27,0.9174
2008-08-28,6.3636
2008-08-29,2.5641
2008-09-03,-12.5
2008-09-04,0.0
2008-09-05,0.0
2008-09-17,3.8095
2008-09-18,5.5046
2008-09-19,-8.6957
2008-09-26,1.9048
2008-10-14,-0.9346
2008-10-17,-38.6792
2008-10-29,64.6154
2008-10-30,2.8037
2008-11-10,-20.9091
2008-11-19,14.9425
2008-11-21,-15.0
2008-11-26,35.2941
2008-12-03,0.0
2008-12-04,0.0
2008-12-10,-4.3478
2008-12-11,-0.9091
2008-12-19,5.5046
2008-12-29,4.3478
2009-01-05,-4.1667
2009-01-27,-43.4783
2009-02-17,76.9231
2009-03-09,-46.9565
2009-03-13,88.5246
2009-07-29,-34.7826
2009-08-05,0.0
2009-08-19,33.3333
2009-08-27,0.0
2009-09-22,5.0
2009-09-30,4.7619
2009-10-01,0.0
2009-10-02,0.0
2009-10-06,0.0
2009-10-07,0.0
2009-10-08,0.0
2009-10-09,-4.5455
2009-10-14,4.7619
2009-10-15,0.0
2009-10-16,4.5455
2009-10-19,4.3478
2009-10-20,0.0
2009-10-21,-4.1667
2009-10-22,-8.6957
2009-10-28,4.7619
2009-11-19,-8.1818
2009-11-27,-10.8911
2009-11-30,16.6667
2009-12-11,-3.8095
2009-12-14,0.0
2009-12-15,0.0
2009-12-28,-35.6436
2009-12-30,55.3846
2010-01-28,3.9604
2010-02-05,0.0
2010-02-09,0.0
2010-02-17,-4.7619
2010-02-23,0.0
2010-03-03,5.0
2010-03-04,0.0
2010-03-05,0.0
2010-03-08,9.5238
2010-03-09,0.0
2010-03-10,0.0
2010-03-11,-5.2174
2010-03-18,-3.6696999999999997
2010-03-19,0.0
2010-03-22,0.0
2010-03-23,-0.9524
2010-03-24,0.0
2010-03-25,-0.9615
2010-03-29,1.9417
2010-03-30,0.0
2010-03-31,4.7619
2010-04-01,-6.3636
2010-04-05,1.9417
