ticker,FCCN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-13,0.5747
2004-05-14,2.8571
2004-05-17,0.0
2004-05-18,-0.5556
2004-05-20,3.352
2004-05-21,3.2432
2004-05-26,-0.5236
2004-05-27,-0.5263
2004-05-28,2.6455
2004-06-07,-3.6082
2004-06-10,0.0
2004-06-14,-3.7433
2004-06-18,8.3333
2004-06-21,1.5385
2004-06-22,1.0101
2004-06-23,-9.75
2004-06-24,0.277
2004-07-08,2.2099
2004-07-12,8.1081
2004-07-15,2.5
2004-07-23,-1.9512
2004-07-26,-5.4726
2004-07-27,1.0526
2004-07-28,-2.6042
2004-07-29,0.0
2004-07-30,-11.7647
2004-08-06,9.0909
2004-08-09,0.0
2004-08-25,11.1111
2004-08-26,0.0
2004-09-01,12.5
2004-09-02,-6.6667
2004-09-03,-2.1429
2004-09-09,6.0827
2004-09-10,2.7523
2004-09-17,0.0
2004-09-21,-7.1429
2004-09-22,5.2885
2004-09-27,-9.1324
2004-09-28,-7.0352
2004-09-30,18.6486
2004-10-04,-6.6059
2004-10-07,-0.2439
2004-10-08,-1.2225
2004-10-14,-8.4158
2004-10-15,5.4054
2004-10-18,-6.6667
2004-10-19,0.0
2004-10-26,9.8901
2004-12-06,0.0
2004-12-14,-9.25
2004-12-15,-0.8264
2004-12-16,0.8333
2005-01-18,-11.8457
2005-01-19,-6.25
2005-01-20,16.6667
2005-02-02,2.8571
2005-02-03,5.5556
2005-02-04,2.6316
2005-02-07,2.5641
2005-02-08,2.5
2005-02-09,0.4878
2005-02-10,-0.4854
2005-02-11,0.0
2005-02-15,-2.439
2005-02-17,-2.0
2005-03-01,-3.0612
2005-03-02,0.0
2005-03-03,-1.5789
2005-03-04,-1.0695000000000001
2005-03-07,3.2432
2005-03-10,2.0942
2005-03-11,2.5641
2005-03-14,0.5
2005-03-15,0.4975
2005-03-16,7.9208
2005-03-17,10.0917
2005-03-18,2.9167
2005-03-21,4.4534
2005-03-22,6.5891
2005-03-23,-3.6364
2005-03-24,0.0
2005-03-28,3.7736
2005-03-29,-2.5455
2005-03-30,0.7463
2005-03-31,7.4074
2005-04-01,3.4483
2005-04-04,-1.6667
2005-04-06,-3.2203
2005-04-07,0.0
2005-04-08,-0.1751
2005-04-11,1.7544
2005-04-12,-3.4483
2005-04-13,0.0
2005-04-20,0.0
2005-04-22,-0.3571
2005-04-25,12.9032
2005-05-02,-7.9365
2005-05-03,-7.7586
2005-05-04,0.9346
2005-05-05,0.0
