ticker,MFBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-26,-5.8824
2000-02-01,0.0
2000-02-15,0.0
2000-03-16,9.375
2000-03-17,-2.8571
2000-04-07,1.4706000000000001
2000-04-10,-5.7971
2000-05-08,-2.5974
2000-05-31,0.0
2000-07-21,-13.8481
2000-07-24,0.0
2000-07-26,-7.4074
2000-07-28,-4.0
2000-08-16,0.0
2000-08-30,0.0
2000-08-31,2.0833
2000-09-07,-2.0408
2000-10-11,-16.6667
2000-10-12,-7.5
2000-12-12,-1.8538999999999999
2001-02-09,14.9103
2001-02-20,1.2195
2001-03-08,-1.2048
2001-04-10,3.589
2001-04-23,0.5695
2001-04-26,-0.5191
2001-05-18,-3.5103999999999997
2001-06-28,3.0482
2001-07-27,-0.1923
2001-07-30,1.3969
2001-08-01,23.5154
2001-08-02,-15.3846
2001-08-03,18.1818
2001-08-20,-20.1538
2001-10-24,2.4272
2001-11-06,-0.4739
2001-12-20,3.167
2002-01-02,0.4651
2002-01-04,8.7963
2002-01-09,-8.0851
2002-01-16,0.0
2002-01-18,0.0
2002-01-23,-6.7593
2002-02-19,9.2354
2002-02-25,-8.6364
2002-02-28,19.403
2002-03-20,-14.849
2002-04-02,0.9852
2002-05-15,-2.3415
2002-05-16,9.8901
2002-05-17,-4.5455
2002-05-24,-4.2857
2002-05-29,-0.398
2002-05-30,19.8801
2002-05-31,-6.25
2002-06-03,0.0
2002-06-11,0.0
2002-06-19,13.3333
2002-07-02,21.5686
2002-07-18,-18.2879
2002-07-23,0.3968
2002-07-24,0.0
2002-07-25,-0.7905
2002-08-05,-6.9323
2002-08-08,4.8801
2002-08-14,-4.0816
2002-08-15,6.383
2002-08-19,-3.04
2002-08-28,-3.0528
2002-09-11,3.4043
2002-09-19,-3.2922000000000002
2002-09-24,0.0851
2002-10-07,0.5993
2002-10-16,0.0851
2002-10-21,4.1667
2002-12-06,10.2041
2003-01-03,-2.7407
2003-01-09,-1.1494
2003-02-24,-3.0233
2003-03-10,7.9137
2003-03-13,-3.6296
2003-04-03,1.0062
2003-04-04,0.3831
2003-04-10,2.2901
2003-04-29,2.6119
2003-04-30,2.5455
2003-05-05,-2.4823
2003-05-07,7.2727
2003-05-08,3.3898
2003-06-13,8.1967
2003-06-18,9.0909
2003-07-07,-10.1061
2003-07-09,0.0
2003-07-10,3.1056
2003-07-22,2.4096
2003-08-05,-2.9412000000000003
2003-08-12,-1.1515
2003-08-28,-0.0613
2003-09-23,2.454
2003-10-01,2.348
