ticker,CVAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-29,225.0
2004-11-01,-1.5385
2004-11-03,0.0
2004-11-19,6.25
2004-11-30,2.9412000000000003
2004-12-01,1.4285999999999999
2004-12-02,1.4085
2004-12-03,0.0
2004-12-06,0.0
2004-12-07,-13.8889
2004-12-09,19.3548
2004-12-10,0.0
2004-12-13,0.0
2004-12-14,5.4054
2004-12-15,0.0
2004-12-16,1.2821
2004-12-20,0.2532
2004-12-22,2.2727
2004-12-23,14.0741
2004-12-27,7.1429
2004-12-28,-18.1818
2005-01-05,25.9259
2005-01-06,0.0
2005-01-07,-1.7647
2005-01-11,-19.1617
2005-01-13,7.4074
2005-01-14,13.7931
2005-01-18,-3.6364
2005-01-19,0.6289
2005-01-20,-6.25
2005-01-21,3.3333
2005-01-27,3.2258
2005-01-28,0.0
2005-02-08,-0.625
2005-02-10,-5.6604
2005-02-11,2.6667
2005-02-16,-2.5974
2005-02-18,-3.3333
2005-02-22,3.4483
2005-02-28,-16.6667
2005-03-02,16.0
2005-03-04,-10.3448
2005-03-11,2.3077
2005-03-14,1.5038
2005-03-15,-2.963
2005-03-16,1.5267
2005-03-17,1.5038
2005-03-18,-2.963
2005-03-22,0.0
2005-03-23,-0.7634
2005-03-24,-3.8462
2005-03-28,-4.0
2005-03-30,-12.5
2005-03-31,4.7619
2005-04-01,9.0909
2005-04-06,-8.3333
2005-04-07,4.5455
2005-04-08,-4.3478
2005-04-11,-1.8182
2005-04-12,-6.4815
2005-04-13,5.9406
2005-04-15,0.9346
2005-04-18,-5.5556
2005-04-21,0.9804
2005-04-22,-0.9709
2005-04-26,-0.9804
2005-04-29,-15.8416
2005-05-02,-3.5294
2005-05-19,101.2195
2005-05-20,-24.2424
2005-05-23,-4.0
2005-05-24,-10.8333
2005-05-25,-5.6075
2005-06-01,-30.6931
2005-06-02,28.5714
2005-06-03,0.0
2005-06-06,5.5556
2005-06-07,5.2632
2005-06-08,-15.0
2005-06-10,-11.7647
2005-06-13,26.6667
2005-06-14,15.7895
2005-06-15,-8.1818
2005-06-17,-10.8911
2005-06-21,-5.5556
2005-06-23,5.8824
2005-06-28,-11.1111
2005-06-29,-6.25
2005-06-30,20.0
2005-07-05,11.1111
2005-07-08,-9.0
2005-07-12,10.989
2005-07-18,27.7228
2005-07-19,-7.7519
2005-07-21,-6.7227
2005-07-22,-0.9009
2005-07-25,-8.1818
2005-07-26,3.9604
2005-07-28,0.0
2005-07-29,0.0
2005-08-01,0.0
