ticker,ON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-28,37.1094
2000-05-01,13.9601
2000-05-02,-4.0
2000-05-03,-6.25
2000-05-04,-6.1111
2000-05-05,-1.1834
2000-05-08,-2.9939999999999998
2000-05-09,-0.3086
2000-05-10,-4.0248
2000-05-11,3.2258
2000-05-12,6.875
2000-05-15,1.462
2000-05-16,2.5937
2000-05-17,-1.6854
2000-05-18,9.7143
2000-05-19,-5.2083
2000-05-22,-12.0879
2000-05-23,-0.625
2000-05-24,-1.8868
2000-05-25,-6.7308
2000-05-26,-1.0309
2000-05-30,11.1111
2000-05-31,-3.4375
2000-06-01,4.2071
2000-06-02,14.2857
2000-06-05,-0.5435
2000-06-06,1.0929
2000-06-07,-3.7838000000000003
2000-06-08,1.6854
2000-06-09,2.7624
2000-06-12,3.4946
2000-06-13,-2.5974
2000-06-14,-2.1333
2000-06-15,0.2725
2000-06-16,-8.4239
2000-06-19,0.8902
2000-06-20,2.9412000000000003
2000-06-21,3.7143
2000-06-22,-0.8264
2000-06-23,5.0
2000-06-26,0.0
2000-06-27,-2.9101
2000-06-28,2.1798
2000-06-29,-1.6
2000-06-30,-5.1491
2000-07-03,4.0
2000-07-05,-5.2198
2000-07-06,1.1594
2000-07-07,0.0
2000-07-10,-0.2865
2000-07-11,1.1494
2000-07-12,-0.2841
2000-07-13,-6.5527
2000-07-14,5.1829
2000-07-17,2.029
2000-07-18,-0.2841
2000-07-19,-7.6923
2000-07-20,3.7037
2000-07-21,-2.3810000000000002
2000-07-24,1.2195
2000-07-25,1.8072
2000-07-26,0.2959
2000-07-27,-5.6047
2000-07-28,0.0
2000-07-31,10.625
2000-08-01,-2.2599
2000-08-02,0.578
2000-08-03,-6.0345
2000-08-04,1.5291000000000001
2000-08-07,0.6024
2000-08-08,-0.8982
2000-08-09,-3.3233
2000-08-10,-13.75
2000-08-11,0.0
2000-08-14,-1.4493
2000-08-15,1.4706000000000001
2000-08-16,-0.7246
2000-08-17,-1.4599
2000-08-18,0.7407
2000-08-21,-4.4118
2000-08-22,3.0769
2000-08-23,1.4925
2000-08-24,2.5735
2000-08-25,1.4337
2000-08-28,-0.3534
2000-08-29,-2.1277
2000-08-30,0.7246
2000-08-31,-2.1583
2000-09-01,2.9412000000000003
2000-09-05,-0.7143
2000-09-06,-2.518
2000-09-07,-4.059
2000-09-08,-4.6154
2000-09-11,6.4516
2000-09-12,0.7576
2000-09-13,0.3759
2000-09-14,-4.8689
2000-09-15,-6.2992
