ticker,XLRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-17,25.9259
2003-10-21,17.647100000000002
2004-01-07,-25.0
2004-01-16,33.3333
2004-01-20,105.0
2004-01-22,15.8537
2004-01-23,36.8421
2004-01-26,19.2308
2004-01-27,-10.9677
2004-01-28,-7.2464
2004-01-30,7.8125
2004-02-05,-8.6957
2004-02-06,4.7619
2004-02-10,4.5455
2004-02-12,-8.6957
2004-02-13,-3.8095
2004-02-17,-25.7426
2004-02-18,6.6667
2004-02-24,-30.0
2004-02-26,0.0
2004-02-27,69.6429
2004-03-02,-31.5789
2004-03-03,38.4615
2004-03-08,2.2222
2004-03-12,-13.0435
2004-03-15,-11.25
2004-03-18,2.1127
2004-03-30,40.6897
2004-04-06,-6.8627
2004-04-08,9.473700000000001
2004-04-14,-18.2692
2004-05-13,-32.9412
2004-05-28,40.3509
2004-06-07,-25.0
2004-06-18,25.0
2004-06-21,0.0
2004-06-22,5.3333
2004-06-23,3.7975
2004-06-24,2.439
2004-06-25,-4.7619
2004-06-28,-5.0
2004-06-29,1.7105000000000001
2004-06-30,-8.1501
2004-07-01,2.8169
2004-07-02,8.2192
2004-07-07,-6.3291
2004-07-08,-5.4054
2004-07-12,6.4286
2004-07-13,-2.0134
2004-07-14,-8.9041
2004-07-15,1.5038
2004-07-22,21.4815
2004-07-26,-26.8293
2004-07-30,-10.0
2004-08-05,11.1111
2004-08-10,0.0
2004-08-17,16.6667
2004-08-18,14.2857
2004-08-20,2.5
2004-08-24,24.3902
2004-08-25,-0.9804
2004-08-26,-10.8911
2004-08-27,-11.1111
2004-08-30,0.0
2004-08-31,12.5
2004-09-01,-6.6667
2004-09-03,7.1429
2004-09-07,11.1111
2004-09-09,2.0
2004-09-10,-6.8627
2004-09-13,-5.2632
2004-09-14,0.0
2004-09-16,-10.0
2004-09-17,-6.1728
2004-09-20,18.4211
2004-09-21,0.0
2004-09-22,7.7778
2004-09-23,-9.2784
2004-09-27,-2.2727
2004-09-28,4.6512
2004-09-29,-17.7778
2004-09-30,-5.4054
2004-10-01,5.7143
2004-10-04,0.0
2004-10-05,8.1081
2004-10-08,-7.5
2004-10-13,-12.1622
2004-10-14,30.7692
2004-10-18,-5.8824
2004-10-19,0.0
2004-10-20,0.0
2004-10-21,-7.5
2004-10-22,-1.3514
2004-10-25,-17.8082
2004-10-26,6.6667
2004-10-29,0.0
2004-11-01,15.625
2004-11-02,0.0
2004-11-03,8.1081
2004-11-08,-2.5
2004-11-09,0.0
