ticker,RKLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-01,150.0
2005-12-02,5.0
2005-12-05,-23.8095
2005-12-06,37.5
2005-12-07,0.0
2005-12-08,0.0
2005-12-12,0.0
2005-12-13,0.0
2005-12-14,0.0
2005-12-16,-4.5455
2005-12-19,4.7619
2005-12-20,0.0
2005-12-21,-22.7273
2005-12-22,29.4118
2005-12-27,-4.5455
2005-12-28,-19.0476
2005-12-29,-23.5294
2005-12-30,7.6923
2006-01-06,14.2857
2006-01-09,0.0
2006-01-11,0.0
2006-01-13,6.25
2006-01-19,5.8824
2006-01-23,0.0
2006-01-24,-5.5556
2006-01-25,5.8824
2006-01-26,-5.5556
2006-01-27,0.0
2006-01-30,0.0
2006-01-31,0.0
2006-02-01,-17.647100000000002
2006-02-02,14.2857
2006-02-03,6.25
2006-02-07,-5.8824
2006-02-08,6.25
2006-02-09,5.8824
2006-02-10,-22.2222
2006-02-13,21.4286
2006-02-14,-11.7647
2006-02-15,0.0
2006-02-16,0.0
2006-02-22,6.6667
2006-02-23,-6.25
2006-02-24,6.6667
2006-03-01,-6.25
2006-03-02,6.6667
2006-03-06,0.0
2006-03-07,6.25
2006-03-13,0.0
2006-03-14,-11.7647
2006-03-15,-13.3333
2006-03-16,23.0769
2006-03-17,0.0
2006-03-20,6.25
2006-03-21,3.5294
2006-03-22,5.6818
2006-03-24,3.2258
2006-03-27,-6.25
2006-03-28,-16.6667
2006-03-29,1.3333
2006-03-30,15.7895
2006-03-31,-3.4091
2006-04-03,0.0
2006-04-05,-5.8824
2006-04-06,-6.25
2006-04-07,6.6667
2006-04-12,-7.5
2006-04-13,27.027
2006-04-17,-25.5319
2006-04-18,-20.0
2006-04-19,23.2143
2006-04-20,-5.7971
2006-04-21,-7.6923
2006-04-24,5.0
2006-04-25,19.0476
2006-04-26,-13.3333
2006-04-27,0.0
2006-04-28,6.1538
2006-05-01,-5.7971
2006-05-02,-6.1538
2006-05-03,-18.0328
2006-05-04,-10.0
2006-05-05,-6.6667
2006-05-08,-4.7619
2006-05-09,0.0
2006-05-10,0.0
2006-05-11,-12.5
2006-05-12,0.0
2006-05-15,-31.4286
2006-05-16,-37.5
2006-05-17,-2.0
2006-05-18,36.0544
2006-05-19,-25.0
2006-05-22,53.3333
2006-05-23,17.3913
2006-05-24,0.0
2006-05-25,-25.9259
2006-05-26,25.0
2006-05-30,-12.0
2006-05-31,13.6364
2006-06-01,-28.0
2006-06-02,-33.3333
2006-06-05,25.0
