ticker,PAEGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-03-17,9.8765
2004-03-18,1.1236
2004-03-19,-6.6667
2004-03-22,-10.7143
2004-03-23,6.6667
2004-03-24,-6.25
2004-03-25,-2.6667
2004-03-26,5.4795
2004-03-29,-3.8961
2004-03-30,8.1081
2004-04-01,-6.25
2004-04-02,10.6667
2004-04-05,6.0241
2004-04-06,-3.4091
2004-04-07,-7.0588
2004-04-08,10.1266
2004-04-12,-12.6437
2004-04-13,5.2632
2004-04-14,-2.5
2004-04-15,2.5641
2004-04-16,0.0
2004-04-19,-6.25
2004-04-20,6.6667
2004-04-21,-6.25
2004-04-22,5.3333
2004-04-23,-5.0633
2004-04-26,8.0
2004-04-27,4.9383
2004-04-28,-5.8824
2004-04-29,0.0
2004-04-30,-6.25
2004-05-03,5.3333
2004-05-04,6.3291
2004-05-05,1.1905000000000001
2004-05-06,0.0
2004-05-07,4.7059
2004-05-10,-13.4831
2004-05-11,23.3766
2004-05-12,-8.4211
2004-05-13,-6.8966
2004-05-14,8.642
2004-05-17,5.6818
2004-05-18,0.0
2004-05-19,-4.3011
2004-05-20,1.1236
2004-05-21,1.1111
2004-05-24,20.8791
2004-05-25,2.7273
2004-05-26,13.2743
2004-05-27,9.375
2004-05-28,14.2857
2004-06-01,15.0
2004-06-02,-5.9783
2004-06-03,0.0
2004-06-04,-16.185
2004-06-07,-1.3793
2004-06-08,-9.7902
2004-06-09,-0.7752
2004-06-10,-6.25
2004-06-14,5.8333
2004-06-15,2.3622
2004-06-16,-0.7692
2004-06-17,-2.3256
2004-06-18,-5.5556
2004-06-21,0.8403
2004-06-22,0.0
2004-06-23,8.3333
2004-06-24,-2.3077
2004-06-25,10.2362
2004-06-28,-3.5714
2004-06-29,2.963
2004-06-30,-2.8777
2004-07-01,0.0
2004-07-02,7.4074
2004-07-06,4.8276
2004-07-07,0.0
2004-07-08,-1.3158
2004-07-09,1.3333
2004-07-12,-21.0526
2004-07-13,4.1667
2004-07-14,0.0
2004-07-15,-4.8
2004-07-16,0.0
2004-07-19,-5.8824
2004-07-20,-3.5714
2004-07-21,-3.7037
2004-07-22,3.8462
2004-07-23,-3.7037
2004-07-26,4.8077
2004-07-27,-5.5046
2004-07-28,-2.9126
2004-07-29,-5.0
2004-07-30,4.2105
2004-08-02,-4.0404
2004-08-03,10.526299999999999
2004-08-04,-4.7619
2004-08-05,-1.0
2004-08-06,0.0
2004-08-09,-8.9394
2004-08-10,3.1614
2004-08-11,-5.3763
