ticker,PMMEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-28,34.8115
2007-03-13,11.287
2007-03-15,2.1615
2007-03-26,-1.3743
2007-04-03,9.0209
2007-04-04,-2.2873
2007-04-05,-0.4475
2007-04-09,-5.9993
2007-04-10,1.5266
2007-04-11,0.0
2007-04-12,-1.4493
2007-04-13,5.1471
2007-04-16,5.2797
2007-04-17,-1.6938
2007-04-23,-3.5135
2007-04-24,-2.4685
2007-04-25,0.1795
2007-04-26,-0.663
2007-04-27,0.487
2007-05-01,0.4667
2007-05-02,-6.2712
2007-05-04,5.6424
2007-05-07,-4.8178
2007-05-14,0.0948
2007-05-17,-12.1212
2007-05-18,-2.2845
2007-05-22,30.569
2007-05-25,-0.9459
2007-05-29,3.6835
2007-05-30,-7.8947
2007-06-01,7.75
2007-06-06,6.596
2007-06-07,-7.2139
2007-06-08,-3.0328
2007-06-15,-0.2419
2007-06-18,4.625
2007-06-25,0.0993
2007-06-27,-0.4962
2007-06-29,0.266
2007-07-06,-10.2951
2007-07-09,9.3698
2007-07-11,2.7374
2007-07-12,-0.7401
2007-07-13,-2.4358
2007-07-18,5.4857
2007-07-19,0.2576
2007-07-20,-2.1037
2007-07-23,24.6719
2007-07-25,-6.1842
2007-07-26,5.7783999999999995
2007-07-27,-4.6672
2007-07-31,-14.3255
2007-08-02,5.1948
2007-08-03,-1.2346
2007-08-07,-2.5
2007-08-08,0.2885
2007-08-10,-11.2816
2007-08-14,9.9063
2007-08-16,-20.0262
2007-08-17,9.6311
2007-08-20,6.1682
2007-08-21,-12.6761
2007-08-22,-3.3266
2007-08-23,12.7424
2007-08-24,-1.0544
2007-08-29,-2.6921
2007-08-30,6.2056000000000004
2007-09-04,1.013
2007-09-06,-2.5788
2007-09-17,-2.2059
2007-09-24,-26.3158
2007-09-25,26.5306
2007-09-28,8.770199999999999
2007-10-02,14.6247
2007-10-03,-11.2549
2007-10-04,6.7055
2007-10-09,8.469899999999999
2007-10-10,-14.1058
2007-10-11,-0.2933
2007-10-12,14.8529
2007-10-15,-1.6965
2007-10-16,6.6754
2007-10-22,2.1978
2007-10-24,-2.0311
2007-10-25,10.4878
2007-10-29,19.2881
2007-10-30,2.1513
2007-10-31,2.3551
2007-11-01,0.6195
2007-11-02,-0.3518
2007-11-05,-4.2034
2007-11-07,3.4896
2007-11-08,1.4912
2007-11-09,6.2281
2007-11-12,8.8357
2007-11-13,-15.6108
2007-11-14,7.2825
2007-11-19,-8.6528
2007-11-20,3.578
