ticker,CGRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-12,100.0
2000-01-13,16.6667
2000-01-18,-57.1429
2000-01-26,0.0
2000-02-01,44.0
2000-02-09,-30.5556
2000-02-18,6.6667
2000-02-23,40.625
2000-02-25,-28.8889
2000-03-03,9.375
2000-03-06,0.0
2000-03-14,-14.2857
2000-03-20,116.6667
2000-03-21,0.0
2000-03-23,-15.3846
2000-04-19,-45.4545
2000-04-27,0.0
2000-05-12,0.0
2000-05-25,-16.6667
2000-05-31,20.0
2000-06-02,-58.3333
2000-06-12,60.0
2000-06-14,-37.5
2000-06-15,0.0
2000-10-02,20.0
2000-10-10,33.3333
2000-10-13,-25.0
2000-10-19,166.6667
2000-10-25,0.0
2000-11-01,-60.0
2000-11-08,-6.25
2000-11-09,33.3333
2000-11-15,-25.0
2000-11-16,33.3333
2000-11-17,0.0
2000-11-20,-24.0
2000-11-21,-34.2105
2000-11-27,100.0
2000-11-28,-12.5
2000-11-29,14.2857
2000-11-30,0.0
2000-12-01,-12.0
2000-12-04,9.0909
2000-12-06,-29.1667
2000-12-07,0.0
2000-12-08,-5.8824
2000-12-12,56.25
2000-12-13,-20.0
2000-12-14,9.375
2000-12-19,0.5714
2000-12-20,13.6364
2000-12-21,-25.0
2000-12-22,33.3333
2000-12-29,-28.0
2001-01-02,73.6111
2001-01-03,28.0
2001-01-08,-12.5
2001-01-10,42.8571
2001-01-19,-20.0
2001-02-01,20.0
2001-02-02,0.0
2001-02-06,-27.0833
2001-02-07,48.5714
2001-02-13,-23.0769
2001-02-14,-31.25
2001-02-15,89.0909
2001-03-06,-13.461500000000001
2001-03-08,-38.8889
2001-03-14,59.0909
2001-03-26,-42.8571
2001-04-20,12.525
2001-04-24,17.3073
2001-05-04,-54.5455
2001-05-07,0.0
2001-05-09,0.0
2001-05-15,0.0
2001-05-25,-23.3333
2001-09-04,-91.3043
2001-09-07,0.0
2001-09-19,0.0
2001-09-28,200.0
2001-10-22,0.0
2001-10-25,0.0
2001-10-30,0.0
2001-10-31,-58.3333
2001-11-12,0.0
2001-11-29,0.0
2001-12-04,0.0
2001-12-07,0.0
2001-12-24,0.0
2001-12-28,60.0
2001-12-31,25.0
2002-01-31,8.0
2002-02-01,0.0
2002-02-12,-25.9259
2002-02-13,0.0
2002-04-10,0.0
2002-04-22,0.0
2002-04-23,300.0
2002-04-26,-75.0
2002-05-21,300.0
2002-06-04,-75.0
2002-06-07,50.0
2002-06-12,-33.3333
2002-06-13,50.0
